xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSAlert,Alert,Alert,Alert,NL: Alert,,,rootconcept,NL-CM:8.3.1,Root concept of the Alert information model. This root concept contains all data elements of the Alert information model.,SNOMED CT: 37341000000109 Alert note,EHDSAlert,EHDSAlert,Alert model,Alert flag,,0..*,
EHDSAlert.header,,,,,,,,,,,EHDSAlert.header,EHDSAlert.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSAlert.header.subject,,,,,,,,,,,EHDSAlert.header.subject,EHDSAlert.header.subject,Patient/subject information,Patient/subject information,EHDSPatient,1..1,
EHDSAlert.header.identifier,,,,,,,,,,,EHDSAlert.header.identifier,EHDSAlert.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSAlert.header.authorship,,,,,,,,,,,EHDSAlert.header.authorship,EHDSAlert.header.authorship,Resource authoring details,Resource authoring details,Base,1..*,
EHDSAlert.header.authorship.author[x],,,,,,,,,,,EHDSAlert.header.authorship.author[x],EHDSAlert.header.authorship.author[x],Author(s) by whom the resource was/were authored. Multiple authors could be provided.,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSAlert.header.authorship.datetime,,,,,,,,,,,EHDSAlert.header.authorship.datetime,EHDSAlert.header.authorship.datetime,Date and time of authoring/issuing,Date and time of authoring/issuing,dateTime,1..1,
EHDSAlert.header.lastUpdate,,,,,,,,,,,EHDSAlert.header.lastUpdate,EHDSAlert.header.lastUpdate,Date and time of the last update to the resource (may be used for technical corrections).,Date and time of the last update to the resource (may be used for technical corrections).,dateTime,0..1,
EHDSAlert.header.status,,,,,,,,,,,EHDSAlert.header.status,EHDSAlert.header.status,Status of the resource or document,Status of the resource or document,CodeableConcept,1..1,
EHDSAlert.header.statusReason[x],,,,,,,,,,,EHDSAlert.header.statusReason[x],EHDSAlert.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSAlert.header.language,,,,,,,,,,,EHDSAlert.header.language,EHDSAlert.header.language,Language in which the resource is written. Language is expressed by the IETF language tag.,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSAlert.text,Alert.Comment,Comment,Alert.Comment,NL: Toelichting,ST,0..1,data,NL-CM:8.3.7,Explanatory comments to the alert that can not be expressed in any of the other elements.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,EHDSAlert.text,EHDSAlert.text,Text,"A human-readable narrative that contains a summary of the flag and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it \""clinically safe\"" for a human to just read the narrative.
Example 1: intolerance to aspirin due to gastrointestinal bleeding.
Example 2: intolerance to captopril because of cough (the patient is not allergic but can't tolerate it because of persistent cough)
Example 3: the patient has a rare disease that requires special treatment
Example 4: Airway Alert / Difficult Intubation
Example 5: Diagnoses such as malignant hyperthermia, porphyria, and bleeding disorders; special treatments like anticoagulants or immunosuppressants; implanted devices.
Example 6: transplanted organs illustrate other information that has to be taken into account in a healthcare contact.
Example 7: participation in a clinical trial that has to be taken into account in a healthcare contact.",string,0..1,
EHDSAlert.priority,,,,,,,,,,,EHDSAlert.priority,EHDSAlert.priority,Priority,A code that identifies the priority of the alert.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'hl7:Flag-priority-code'}"
EHDSAlert.status,,,,,,,,,,,EHDSAlert.status,EHDSAlert.status,Status,"Current status of the flag, Indicates whether this flag is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'hl7:Flag-status'}"
EHDSAlert.code,Alert.AlertName,AlertName,Alert.AlertName,NL: AlertNaam,CD,(0..1),data,NL-CM:8.3.4,"A warning, other than a condition or problem. For example, a patient can be given an ‘Aggressive patient' alert. 
The warning can be entered in code (there are codes for frequently used alerts), but seeing the dynamic nature of the warnings cf. SARS and Ebola, these alerts will often be entered as free text.",,EHDSAlert.code,EHDSAlert.code,Code,A coded or textual representation of the flag.,CodeableConcept,1..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSAlert.period,Alert.StartDateTime,StartDateTime,Alert.StartDateTime,NL: BeginDatumTijd,TS,0..1,data,NL-CM:8.3.5,"The date and time at which the described condition was entered as a warning.  
This can be an exact date and time, or a rough indication of the date (such as only the year, or the month and the year).",,EHDSAlert.period,EHDSAlert.period,Period,"Time period when flag is active. The period of time from the activation of the flag to inactivation of the flag. If the flag is active, the end of the period should be unspecified.",Period,0..1,
,Alert.EndDateTime,EndDateTime,Alert.EndDateTime,NL: EindDatumTijd,TS,0..1,data,NL-CM:8.3.8,"The date and time at which the described condition was retracted as a warning.  
This can be an exact date and time, or a rough indication of the date (such as only the year, or the month and the year).",,,,,,,,
,Alert.AlertType,AlertType,Alert.AlertType,NL: AlertType,CD,0..1,data,NL-CM:8.3.6,"Indicates the type of alert, meaning a rough description of the cause or origin of the warning.",,,,,,,,
,Alert.HypersensitivityIntolerance,HypersensitivityIntolerance,Alert.HypersensitivityIntolerance,NL: OvergevoeligheidIntolerantie,,(0..1),"data,reference",NL-CM:8.3.11,"A warning for a specific hypersensitivity or intolerance, because this can pose a risk to the patient with certain treatments. For example, an alert can be given such as 'Hypersensitivity to UV light'.",,,,,,,,
,Alert.Diagnosis,Diagnosis,Alert.Diagnosis,NL: Diagnose,,(0..1),"data,reference",NL-CM:8.3.10,"A warning about a particular diagnosis, because it may pose a risk to the patient with certain treatments. For example, 'Pacemaker' can be included as an alert.",,,,,,,,
,Alert.DecisionMaker::HealthProfessional,DecisionMaker::HealthProfessional,Alert.DecisionMaker::HealthProfessional,NL: Vaststeller::Zorgverlener,,1,"context,reference",NL-CM:8.3.9,The health professional who is responsible for setting the alert.,PRF performer,,,,,,,
