xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSAlertFlag,Alert,Alert,Alert,NL: Alert,,,rootconcept,NL-CM:8.3.1,Root concept of the Alert information model. This root concept contains all data elements of the Alert information model.,SNOMED CT: 37341000000109 Alert note,EHDSAlertFlag,EHDSAlertFlag,Alert flag model,C.22 - EHDS refined base model for Alert flag,,0..*,
EHDSAlertFlag.author,Alert.DecisionMaker::HealthProfessional,DecisionMaker::HealthProfessional,Alert.DecisionMaker::HealthProfessional,NL: Vaststeller::Zorgverlener,,1,"context,reference",NL-CM:8.3.9,The health professional who is responsible for setting the alert.,PRF performer,EHDSAlertFlag.author,EHDSAlertFlag.author,C.22.9 - Author,"The person, organization or device that created the flag.",Reference,0..1,
EHDSAlertFlag.code,Alert.AlertName,AlertName,Alert.AlertName,NL: AlertNaam,CD,(0..1),data,NL-CM:8.3.4,"A warning, other than a condition or problem. For example, a patient can be given an ‘Aggressive patient' alert. 
The warning can be entered in code (there are codes for frequently used alerts), but seeing the dynamic nature of the warnings cf. SARS and Ebola, these alerts will often be entered as free text.",,EHDSAlertFlag.code,EHDSAlertFlag.code,C.22.5 - Code,A coded or textual representation of the flag.,CodeableConcept,1..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSAlertFlag.encounter,,,,,,,,,,,EHDSAlertFlag.encounter,EHDSAlertFlag.encounter,C.22.8 - Encounter,This alert is only relevant during the encounter.,Reference,0..1,
EHDSAlertFlag.identifier,,,,,,,,,,,EHDSAlertFlag.identifier,EHDSAlertFlag.identifier,C.22.1 - Identifier,Flag identifier (Business identifiers assigned to this flag).,Identifier,0..*,
EHDSAlertFlag.patient,,,,,,,,,,,EHDSAlertFlag.patient,EHDSAlertFlag.patient,C.22.6 - Subject,Who/What this flag is a record of,Reference,1..1,
EHDSAlertFlag.period,Alert.EndDateTime,EndDateTime,Alert.EndDateTime,NL: EindDatumTijd,TS,0..1,data,NL-CM:8.3.8,"The date and time at which the described condition was retracted as a warning.  
This can be an exact date and time, or a rough indication of the date (such as only the year, or the month and the year).",,EHDSAlertFlag.period,EHDSAlertFlag.period,C.22.7 - Period,"Time period when flag is active. The period of time from the activation of the flag to inactivation of the flag. If the flag is active, the end of the period should be unspecified.",Period,0..1,
EHDSAlertFlag.period,Alert.StartDateTime,StartDateTime,Alert.StartDateTime,NL: BeginDatumTijd,TS,0..1,data,NL-CM:8.3.5,"The date and time at which the described condition was entered as a warning.  
This can be an exact date and time, or a rough indication of the date (such as only the year, or the month and the year).",,EHDSAlertFlag.period,EHDSAlertFlag.period,C.22.7 - Period,"Time period when flag is active. The period of time from the activation of the flag to inactivation of the flag. If the flag is active, the end of the period should be unspecified.",Period,0..1,
EHDSAlertFlag.priority,,,,,,,,,,,EHDSAlertFlag.priority,EHDSAlertFlag.priority,C.22.3 - Priority,A code that identifies the priority of the alert.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'hl7:Flag-priority-code'}"
EHDSAlertFlag.status,,,,,,,,,,,EHDSAlertFlag.status,EHDSAlertFlag.status,C.22.4 - Status,"Current status of the flag, Indicates whether this flag is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'hl7:Flag-status'}"
EHDSAlertFlag.text,,,,,,,,,,,EHDSAlertFlag.text,EHDSAlertFlag.text,C.22.2 - Text,"A human-readable narrative that contains a summary of the flag and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it \""clinically safe\"" for a human to just read the narrative.
Example 1: intolerance to aspirin due to gastrointestinal bleeding.
Example 2: intolerance to captopril because of cough (the patient is not allergic but can't tolerate it because of persistent cough)
Example 3: the patient has a rare disease that requires special treatment
Example 4: Airway Alert / Difficult Intubation
Example 5: Diagnoses such as malignant hyperthermia, porphyria, and bleeding disorders; special treatments like anticoagulants or immunosuppressants; implanted devices.
Example 6: transplanted organs illustrate other information that has to be taken into account in a healthcare contact.
Example 7: participation in a clinical trial that has to be taken into account in a healthcare contact.",string,0..1,
,Alert.AlertType,AlertType,Alert.AlertType,NL: AlertType,CD,0..1,data,NL-CM:8.3.6,"Indicates the type of alert, meaning a rough description of the cause or origin of the warning.",,,,,,,,
,Alert.Comment,Comment,Alert.Comment,NL: Toelichting,ST,0..1,data,NL-CM:8.3.7,Explanatory comments to the alert that can not be expressed in any of the other elements.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
,Alert.Diagnosis,Diagnosis,Alert.Diagnosis,NL: Diagnose,,(0..1),"data,reference",NL-CM:8.3.10,"A warning about a particular diagnosis, because it may pose a risk to the patient with certain treatments. For example, 'Pacemaker' can be included as an alert.",,,,,,,,
,Alert.HypersensitivityIntolerance,HypersensitivityIntolerance,Alert.HypersensitivityIntolerance,NL: OvergevoeligheidIntolerantie,,(0..1),"data,reference",NL-CM:8.3.11,"A warning for a specific hypersensitivity or intolerance, because this can pose a risk to the patient with certain treatments. For example, an alert can be given such as 'Hypersensitivity to UV light'.",,,,,,,,
