xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSAllergyIntolerance,,,,,,,,,,,EHDSAllergyIntolerance,EHDSAllergyIntolerance,Allergy intolerance model,EHDS refined base model for allergy/intolerance,,0..*,
EHDSAllergyIntolerance.header,,,,,,,,,,,EHDSAllergyIntolerance.header,EHDSAllergyIntolerance.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSAllergyIntolerance.header.subject,,,,,,,,,,,EHDSAllergyIntolerance.header.subject,EHDSAllergyIntolerance.header.subject,Patient/subject information,Patient/subject information,EHDSPatient,1..1,
EHDSAllergyIntolerance.header.identifier,,,,,,,,,,,EHDSAllergyIntolerance.header.identifier,EHDSAllergyIntolerance.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSAllergyIntolerance.header.authorship,,,,,,,,,,,EHDSAllergyIntolerance.header.authorship,EHDSAllergyIntolerance.header.authorship,Resource authoring details,Resource authoring details,Base,1..*,
EHDSAllergyIntolerance.header.authorship.author[x],,,,,,,,,,,EHDSAllergyIntolerance.header.authorship.author[x],EHDSAllergyIntolerance.header.authorship.author[x],Author(s) by whom the resource was/were authored. Multiple authors could be provided.,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSAllergyIntolerance.header.authorship.datetime,,,,,,,,,,,EHDSAllergyIntolerance.header.authorship.datetime,EHDSAllergyIntolerance.header.authorship.datetime,Date and time of authoring/issuing,Date and time of authoring/issuing,dateTime,1..1,
EHDSAllergyIntolerance.header.lastUpdate,,,,,,,,,,,EHDSAllergyIntolerance.header.lastUpdate,EHDSAllergyIntolerance.header.lastUpdate,Date and time of the last update to the resource (may be used for technical corrections).,Date and time of the last update to the resource (may be used for technical corrections).,dateTime,0..1,
EHDSAllergyIntolerance.header.status,,,,,,,,,,,EHDSAllergyIntolerance.header.status,EHDSAllergyIntolerance.header.status,Status of the resource or document,Status of the resource or document,CodeableConcept,1..1,
EHDSAllergyIntolerance.header.statusReason[x],,,,,,,,,,,EHDSAllergyIntolerance.header.statusReason[x],EHDSAllergyIntolerance.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
