xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSRelatedPerson,ContactPerson,ContactPerson,ContactPerson,NL: Contactpersoon,,,rootconcept,NL-CM:3.1.1,Root concept of the ContactPerson information model.This root concept contains all data elements of the ContactPerson information model.,SNOMED CT: 70862002 Contact person,EHDSRelatedPerson,EHDSRelatedPerson,Related person model,EHDS refined base model for Patient/subject guardian and other related person information,,0..*,
EHDSRelatedPerson.personalIdentifier,,,,,,,,,,,EHDSRelatedPerson.personalIdentifier,EHDSRelatedPerson.personalIdentifier,Personal identifier,An identifier of the related person that is unique within a defined scope. Example: National ID (birth number) for the Czech citizen. Multiple identifiers could be provided. ,Identifier,0..*,
EHDSRelatedPerson.name,ContactPerson.NameInformation,NameInformation,ContactPerson.NameInformation,NL: Naamgegevens,,0..1,"data,reference",NL-CM:3.1.4,"Full name of the contact. In the case where the composition of the name information is unknown or irrelevant, the partial information model NameInformation cannot be used.",,EHDSRelatedPerson.name,EHDSRelatedPerson.name,Name,"Name associated with the person. Name might consists of name parts, e.g. Given name or names, family name/surname, name prefix etc.",EHDSHumanName,0..*,
EHDSRelatedPerson.subject,,,,,,,,,,,EHDSRelatedPerson.subject,EHDSRelatedPerson.subject,The patient in relation to whom the related person is defined.,The patient in relation to whom the related person is defined.,EHDSPatient,1..1,
EHDSRelatedPerson.relationship,ContactPerson.Relationship,Relationship,ContactPerson.Relationship,NL: Relatie,CD,0..*,data,NL-CM:3.1.3,Specifies the relevant family or social relationship to the patient.,,EHDSRelatedPerson.relationship,EHDSRelatedPerson.relationship,Relationship,"Relationship between a patient and a contact person for that patient. This includes relatives, guardians, caring persons etc.",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 RoleCode'}"
EHDSRelatedPerson.address,ContactPerson.AddressInformation,AddressInformation,ContactPerson.AddressInformation,NL: Adresgegevens,,0..*,"data,reference",NL-CM:3.1.5,Contact’s address information.,,EHDSRelatedPerson.address,EHDSRelatedPerson.address,Address,"Mailing and home or office addresses. The addresses are always sequences of address parts (e.g. street address line, country, ZIP code, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code; if this attribute is not present it is assumed to be the default address useful for any purpose.",EHDSAddress,0..*,
EHDSRelatedPerson.telecom,ContactPerson.ContactInformation,ContactInformation,ContactPerson.ContactInformation,NL: Contactgegevens,,0..1,"data,reference",NL-CM:3.1.6,The contact’s telephone number and/or e-mail address.,,EHDSRelatedPerson.telecom,EHDSRelatedPerson.telecom,Telecom,Telecommunication contact information (addresses) associated to a person. Multiple telecommunication addresses might be provided.,EHDSTelecom,0..*,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ContactPerson.Role,Role,ContactPerson.Role,NL: Rol,CD,0..*,data,NL-CM:3.1.2,Specifies the role of the contact in relation to the patient.,,,,,,,,
,,,,,,,,,,,,,,,,,
,ContactPerson.Comment,Comment,ContactPerson.Comment,NL: Toelichting,ST,0..1,data,NL-CM:3.1.7,"Additional information about the contact. For example, information such as 'the father is also a medical doctor' can be included here. In addition, if the contact works at an organization, the organization can be mentioned here. If the organization is listed as a contact and no actual contact is known, this can also be stated here. In this case, the name information can be left blank.",LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
