xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSCoverage,Payer,Payer,Payer,NL: Betaler,,,rootconcept,NL-CM:1.1.1,Root concept of the Payer information model. This root concept contains all data elements of the Payer information model.,,EHDSCoverage,EHDSCoverage,Coverage model,EHDS refined base model for Coverage,,0..*,
EHDSCoverage.identifier,,,,,,,,,,,EHDSCoverage.identifier,EHDSCoverage.identifier,Business Identifier for the coverage,Business Identifier for the coverage,Identifier,0..*,
EHDSCoverage.type,Payer.InsuranceCompany.Insurance.InsuranceType,InsuranceType,Payer.InsuranceCompany.Insurance.InsuranceType,NL: Verzekeringssoort,CD,1,data,NL-CM:1.1.15,Type of insurance policy. Codes as returned in the Check for Right to Insurance,,EHDSCoverage.type,EHDSCoverage.type,"Type of coverage: social program, medical plan, accident coverage (workers compensation, auto), group health or payment by an individual or organisation.","Type of coverage: social program, medical plan, accident coverage (workers compensation, auto), group health or payment by an individual or organisation.",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'hl7:coverage-selfpay, hl7:v3-ActCoverageTypeCode'}"
EHDSCoverage.patient,,,,,,,,,,,EHDSCoverage.patient,EHDSCoverage.patient,Patient who benefits from the insurance coverage when products and/or services are provided.,Patient who benefits from the insurance coverage when products and/or services are provided.,EHDSPatient,1..1,
EHDSCoverage.payor,Payer,Payer,Payer,NL: Betaler,,,rootconcept,NL-CM:1.1.1,Root concept of the Payer information model. This root concept contains all data elements of the Payer information model.,,EHDSCoverage.payor,EHDSCoverage.payor,"Payor including both insurance and non-insurance agreements, such as patient-pay agreements.","Payor including both insurance and non-insurance agreements, such as patient-pay agreements.",Base,1..*,
EHDSCoverage.payor.payorEntity[x],,,,,,,,,,,EHDSCoverage.payor.payorEntity[x],EHDSCoverage.payor.payorEntity[x],Payor entity,Payor entity,EHDSOrganisation,1..1,
EHDSCoverage.payor.subscriberId,Payer.InsuranceCompany.InsurantNumber,InsurantNumber,Payer.InsuranceCompany.InsurantNumber,NL: VerzekerdeNummer,ST,1,data,NL-CM:1.1.6,"Number under which the insured person is registered at the insurance company 
This item maps the ‘Identification number of the card’ on EHIC field 8",,EHDSCoverage.payor.subscriberId,EHDSCoverage.payor.subscriberId,Number or code under which the insured person is registered at the insurance provider.,Number or code under which the insured person is registered at the insurance provider.,Identifier,0..1,
,,,,,,,,,,,,,,,,,
,Payer.PayerPerson,PayerPerson,Payer.PayerPerson,NL: BetalerPersoon,,(0..1),container,NL-CM:1.1.2,"Container of the PayerPerson concept. This container contains all data elements of the PayerPerson concept.
In this a person is a natural person or a juridical person, such as an organization, municipality, etc.",,,,,,,,
,Payer.PayerPerson.PayerName,PayerName,Payer.PayerPerson.PayerName,NL: BetalerNaam,ST,0..1,data,NL-CM:1.1.5,Full name of the paying person or organization (legal entity).,,,,,,,,
,Payer.PayerPerson.BankInformation,BankInformation,Payer.PayerPerson.BankInformation,NL: Bankgegevens,,0..*,container,NL-CM:1.1.4,Container of the BankInformation concept. This container contains all data elements of the BankInformation concept.,,,,,,,,
,Payer.PayerPerson.BankInformation.BankName,BankName,Payer.PayerPerson.BankInformation.BankName,NL: BankNaam,ST,0..1,data,NL-CM:1.1.9,Name of the financial organization.,,,,,,,,
,Payer.PayerPerson.BankInformation.BankCode,BankCode,Payer.PayerPerson.BankInformation.BankCode,NL: Bankcode,ST,0..1,data,NL-CM:1.1.10,"Code indicating the bank and branch. For European countries, this is the organization’s BIC or SWIFT code.",,,,,,,,
