xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSDataSet,RegistrationData,RegistrationData,RegistrationData,NL: RegistratieGegevens,,,rootconcept,NL-CM:22.1.1,Root concept of the RegistrationData process data information model. This root concept contains all data elements of the RegistrationData process data information model.,,EHDSDataSet,EHDSDataSet,DataSet model,"Common elements (including header) for all documents and their independently functioning parts, e.g FHIR resources.",,0..*,
EHDSDataSet.header,RegistrationData,RegistrationData,RegistrationData,NL: RegistratieGegevens,,,rootconcept,NL-CM:22.1.1,Root concept of the RegistrationData process data information model. This root concept contains all data elements of the RegistrationData process data information model.,,EHDSDataSet.header,EHDSDataSet.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSDataSet.header.authorship,,,,,,,,,,,EHDSDataSet.header.authorship,EHDSDataSet.header.authorship,Authorship,Resource authoring details,Base,1..*,
EHDSDataSet.header.authorship.author[x],RegistrationData.Author::HealthProfessional,Author::HealthProfessional,RegistrationData.Author::HealthProfessional,NL: Auteur::Zorgverlener,,1,"data,reference",NL-CM:22.1.2,"The author is the one who is responsible for recording information or having information recorded in the medical record.
It concerns not only own observations, but also information received from third parties. The author has decided to include the information in the medical record, and if necessary with source reference.",,EHDSDataSet.header.authorship.author[x],EHDSDataSet.header.authorship.author[x],Author,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSDataSet.header.authorship.datetime,RegistrationData.RegistrationDateTime,RegistrationDateTime,RegistrationData.RegistrationDateTime,NL: RegistratieDatumTijd,TS,1,data,NL-CM:22.1.3,Date and time when the information was recorded in the patient record.,,EHDSDataSet.header.authorship.datetime,EHDSDataSet.header.authorship.datetime,Date and time of authoring/issuing,Date and time of the issuing the document/resource by its author.,dateTime,1..1,
EHDSDataSet.header.identifier,RegistrationData.IdentificationNumber,IdentificationNumber,RegistrationData.IdentificationNumber,NL: Identificatienummer,II,0..1,data,NL-CM:22.1.12,Globally unique number that identifies the instantiation of the information model. The number is composed of an identification of the issuer organization and a unique number assigned by this organization.,SNOMED CT: 396278008 Identification number,EHDSDataSet.header.identifier,EHDSDataSet.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSDataSet.header.language,,,,,,,,,,,EHDSDataSet.header.language,EHDSDataSet.header.language,Language,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSDataSet.header.lastUpdate,,,,,,,,,,,EHDSDataSet.header.lastUpdate,EHDSDataSet.header.lastUpdate,Date and time of the last update to the resource,Date and time of the last update to the document/information,dateTime,0..1,
EHDSDataSet.header.status,,,,,,,,,,,EHDSDataSet.header.status,EHDSDataSet.header.status,Status of the resource,Status of the resource,CodeableConcept,1..1,
EHDSDataSet.header.statusReason[x],,,,,,,,,,,EHDSDataSet.header.statusReason[x],EHDSDataSet.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSDataSet.header.subject,RegistrationData.InformationSource.Patient,Patient,RegistrationData.InformationSource.Patient,NL: Patient,,(0..1),"data,reference",NL-CM:22.1.16,The patient as information source,,EHDSDataSet.header.subject,EHDSDataSet.header.subject,Subject,Patient/subject information,EHDSPatient,1..1,
EHDSDataSet.header.version,,,,,,,,,,,EHDSDataSet.header.version,EHDSDataSet.header.version,Version,Business version of the resource.,string,0..1,
EHDSDataSet.presentedForm,,,,,,,,,,,EHDSDataSet.presentedForm,EHDSDataSet.presentedForm,"A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document",EHDSAttachment,0..*,
,RegistrationData.AcquisitionDateTime,AcquisitionDateTime,RegistrationData.AcquisitionDateTime,NL: DatumTijdVanVerkrijgen,TS,0..1,data,NL-CM:22.1.9,Date and when relevant time when the information became available. This may be an earlier time than the date/time when the information was entered in the patient record.,,,,,,,,
,RegistrationData.AcquisitionMethod,AcquisitionMethod,RegistrationData.AcquisitionMethod,NL: WijzeVanVerkrijgen,ST,1,data,NL-CM:22.1.8,The way in which the information is obtained by the patient record holder.,,,,,,,,
,RegistrationData.CopyIndicator,CopyIndicator,RegistrationData.CopyIndicator,NL: KopieIndicator,BL,1,data,NL-CM:22.1.11,Indication that the data has been obtained from the EPR of another healthcare professional/healthcare provider.,,,,,,,,
,RegistrationData.DatTimeOfClosure,DatTimeOfClosure,RegistrationData.DatTimeOfClosure,NL: AfsluitDatumTijd,TS,0..1,data,NL-CM:22.1.5,"Date and time at which it is recorded in the patient record that the information is no longer relevant, for example because the information is outdated, no longer requires attention, etc.",,,,,,,,
,RegistrationData.InformationSource,InformationSource,RegistrationData.InformationSource,NL: Informatiebron,,0..1,container,NL-CM:22.1.13,"Container of the InformationSource concept.This container contains all data elements of the InformationSource concept.
If the recorded information has not been assessed by the attending physician, the source of the information can be recorded.",,,,,,,,
,RegistrationData.InformationSource.ContactPerson,ContactPerson,RegistrationData.InformationSource.ContactPerson,NL: Contactpersoon,,(0..1),"data,reference",NL-CM:22.1.15,The contact person who is the source of the information.,,,,,,,,
,RegistrationData.InformationSource.HealthProfessional,HealthProfessional,RegistrationData.InformationSource.HealthProfessional,NL: Zorgverlener,,(0..1),"data,reference",NL-CM:22.1.14,The health professional who is the source of the information.,,,,,,,,
,RegistrationData.ReasonDataAbsent,ReasonDataAbsent,RegistrationData.ReasonDataAbsent,NL: RedenAfwezigheidGegevens,CD,0..1,data,NL-CM:22.1.10,"Reason why no data is available for the value of a concept. This includes, for example, all 'Unknown' variants, but also 'Indeterminate', 'Specimen unsatisfactory', etc.",,,,,,,,
,RegistrationData.ReasonForClosing,ReasonForClosing,RegistrationData.ReasonForClosing,NL: RedenVanAfsluiten,ST,0..1,data,NL-CM:22.1.6,"Reason why updating the information, or following changes in the the concept in question is no longer considered relevant. For example, in the case of a condition, this does not mean that the disease is no longer present, but merely that the holder of the patients record no longer considers the condition as an aspect to be taken into account during care provision.",,,,,,,,
,RegistrationData.RegistrationReason,RegistrationReason,RegistrationData.RegistrationReason,NL: RedenVanVastleggen,ST,0..1,data,NL-CM:22.1.4,Description of the reason for including the information in the patient record.,,,,,,,,
