xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSDevice,MedicalDevice.Product,Product,MedicalDevice.Product,NL: Product,,1,container,NL-CM:10.1.2,The medical device (internally or externally).,SNOMED CT: 405815000 Procedure device,EHDSDevice,EHDSDevice,Device model,EHDS refined base model for Device information,,0..*,
EHDSDevice.expiryDate,,,,,,,,,,,EHDSDevice.expiryDate,EHDSDevice.expiryDate,The date and time beyond which this device is no longer valid or should not be used (if applicable).,The date and time beyond which this device is no longer valid or should not be used (if applicable).,dateTime,0..1,
EHDSDevice.identifier,MedicalDevice.Product.ProductID,ProductID,MedicalDevice.Product.ProductID,NL: ProductID,ST,0..1,data,NL-CM:10.1.16,"Globally unique identification of the product, for example the serial number or a UDI (unique device identifier). For some products, the law requires the use of a UDI. Commonly used coding systems are HIBC and GS1/GTIN.

A UDI often contains more information than just an ID, but also, for example, an expiration date. If a UDI is used, the entire code can be included as text in ProductID, so that no important information is lost.",,EHDSDevice.identifier,EHDSDevice.identifier,"Normalised identifier of the device instance, such as UDI according to REGULATION (EU) 2017/745. Multiple identifiers can be used.","Normalised identifier of the device instance, such as UDI according to REGULATION (EU) 2017/745. Multiple identifiers can be used.",Identifier,1..*,
EHDSDevice.lotNumber,,,,,,,,,,,EHDSDevice.lotNumber,EHDSDevice.lotNumber,Lot number of manufacture,Lot number of manufacture,string,0..1,
EHDSDevice.manufactureDate,,,,,,,,,,,EHDSDevice.manufactureDate,EHDSDevice.manufactureDate,The date and time when the device was manufactured,The date and time when the device was manufactured,dateTime,0..1,
EHDSDevice.manufacturer,,,,,,,,,,,EHDSDevice.manufacturer,EHDSDevice.manufacturer,Name of device manufacturer,Name of device manufacturer,string,0..1,
EHDSDevice.modelNumber,,,,,,,,,,,EHDSDevice.modelNumber,EHDSDevice.modelNumber,The manufacturer's model number for the device,The manufacturer's model number for the device,string,0..1,
EHDSDevice.name,,,,,,,,,,,EHDSDevice.name,EHDSDevice.name,The name and name type of the device as known to the manufacturer and/or patient,The name and name type of the device as known to the manufacturer and/or patient,string,0..*,
EHDSDevice.note,,,,,,,,,,,EHDSDevice.note,EHDSDevice.note,Device notes and comments,Device notes and comments,string,0..*,
EHDSDevice.serialNumber,,,,,,,,,,,EHDSDevice.serialNumber,EHDSDevice.serialNumber,Serial number assigned by the manufacturer,Serial number assigned by the manufacturer,string,0..1,
EHDSDevice.type,MedicalDevice.Product.ProductType,ProductType,MedicalDevice.Product.ProductType,NL: ProductType,CD,0..1,data,NL-CM:10.1.3,The code of the type of product.,,EHDSDevice.type,EHDSDevice.type,Device type,Device type,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, EMDN'}"
EHDSDevice.version,,,,,,,,,,,EHDSDevice.version,EHDSDevice.version,The actual design of the device or software version running on the device,The actual design of the device or software version running on the device,string,0..1,
