xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSCondition,Condition,Condition,Condition,NL: AandoeningOfGesteldheid,,,rootconcept,NL-CM:5.4.1,This is a reference to the root concept of information model Condition. This root concept contains all data elements of the information model Condition.,SNOMED CT: 64572001 Disease,EHDSCondition,EHDSCondition,Condition model,"EHDS refined base model for a clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.",,0..*,
EHDSCondition,Diagnosis,Diagnosis,Diagnosis,NL: Diagnose,,,rootconcept,NL-CM:5.6.1,Root concept of the Diagnosis information model. This root concept contains all data elements of the Diagnosis information model.,SNOMED CT: 404684003 Clinical finding,EHDSCondition,EHDSCondition,Condition model,"EHDS refined base model for a clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.",,0..*,
EHDSCondition.anatomicLocation,Diagnosis.AnatomicalLocation,AnatomicalLocation,Diagnosis.AnatomicalLocation,NL: AnatomischeLocatie,,0..*,"data,reference",NL-CM:5.6.9,"The location(s) on and/or in the body that is/are affected by the condition, conform the diagnostics.",SNOMED CT: 123037004 Body structure,EHDSCondition.anatomicLocation,EHDSCondition.anatomicLocation,The anatomical location including laterality where this condition manifests itself.,The anatomical location including laterality where this condition manifests itself.,EHDSBodyStructure,0..*,
EHDSCondition.assertedDate,Diagnosis.DiagnosisDate,DiagnosisDate,Diagnosis.DiagnosisDate,NL: DiagnoseDatum,TS,1,data,NL-CM:5.6.3,Date (and time) at which the care professional came to the diagnosis.,SNOMED CT: 432213005 Date of diagnosis,EHDSCondition.assertedDate,EHDSCondition.assertedDate,Date and time of the diagnosis assertion,Date and time of the diagnosis assertion,dateTime,0..1,
EHDSCondition.asserter,Diagnosis.Diagnostician::HealthProfessional,Diagnostician::HealthProfessional,Diagnosis.Diagnostician::HealthProfessional,NL: DiagnoseSteller::Zorgverlener,,1,"context,reference",NL-CM:5.6.2,The care professional who made the diagnosis. This can be a different individual than the person who recorded the diagnosis.,PRF performer,EHDSCondition.asserter,EHDSCondition.asserter,The asserter of the condition,The asserter of the condition,EHDSHealthProfessional,0..1,
EHDSCondition.category,,,,,,,,,,,EHDSCondition.category,EHDSCondition.category,"Category or categories of the problem (e.g. POA - present on admission, HAC - hospital aquired condition, and other categorisations).","Category or categories of the problem (e.g. POA - present on admission, HAC - hospital aquired condition, and other categorisations).",CodeableConcept,0..*,
EHDSCondition.diagnosisAssertionStatus,Diagnosis.DiagnosisStatus,DiagnosisStatus,Diagnosis.DiagnosisStatus,NL: DiagnoseStatus,CD,1,data,NL-CM:5.6.4,Indicates the status of the diagnostic process.,,EHDSCondition.diagnosisAssertionStatus,EHDSCondition.diagnosisAssertionStatus,Assertion about the certainty associated with a diagnosis. Diagnostic and/or clinical evidence of condition.,Assertion about the certainty associated with a diagnosis. Diagnostic and/or clinical evidence of condition.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 Condition Verification Status'}"
EHDSCondition.endDate,Condition.PeriodPresent::TimeInterval,PeriodPresent::TimeInterval,Condition.PeriodPresent::TimeInterval,NL: PeriodeAanwezig::TijdsInterval,,1,"data,reference",NL-CM:5.4.8,The period in which the condition is (was) present.,,EHDSCondition.endDate,EHDSCondition.endDate,The date or estimated date that the condition resolved or went into remission,The date or estimated date that the condition resolved or went into remission,dateTime,0..1,
EHDSCondition.externalResource,,,,,,,,,,,EHDSCondition.externalResource,EHDSCondition.externalResource,"External Resource which may be specifically related to the problem, for example a link between a rare disease problem and the corresponding guidelines.","External Resource which may be specifically related to the problem, for example a link between a rare disease problem and the corresponding guidelines.",uri,0..*,
EHDSCondition.header,,,,,,,,,,,EHDSCondition.header,EHDSCondition.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
