xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr
EHDSDosaging,InstructionsForUse,InstructionsForUse,InstructionsForUse,NL: GebruiksInstructie,,,rootconcept,NL-CM:9.12.22504,Root concept of the InstructionsForUse partial information model. This root concept contains all data elements of the InstructionsForUse partial information model.,,EHDSDosaging,EHDSDosaging,Dosaging model,"Logical model for usage instructions for administring the requested product. Based on FHIR Dosage complex data type. When implemented, this model may be reduced significantly according to the specific use case.",,0..*
EHDSDosaging.additionalInstruction,InstructionsForUse.AdditionalInstructions,AdditionalInstructions,InstructionsForUse.AdditionalInstructions,NL: AanvullendeInstructies,CD,0..*,data,NL-CM:9.12.19944,"The additional instructions contain extra information on the use of the current prescription.
This includes all instructions for use. The text can come from the original “paper"" medication prescription, but can also be generated from the coded information. 
This concept may contain more information than what is structurally coded in the information below, but may not conflict with it. 
The instructions may not conflict with other components of the request for administration. 
The instructions can also refer to an existing protocol. 
The texts in the G-standard that can support this attribute are included in table 362 and are a copy of the texts from the general practitioner' standard 'NHG-tabel Gebruiksvoorschrift' which are included in the CIM. These texts can be used to structure this concept.",,EHDSDosaging.additionalInstruction,EHDSDosaging.additionalInstruction,"Coded instructions, e.g warnings to the patient, like 'may cause drowsiness' etc","Coded instructions, e.g warnings to the patient, like 'may cause drowsiness' etc",CodeableConcept,0..*
EHDSDosaging.asNeeded,,,,,,,,,,,EHDSDosaging.asNeeded,EHDSDosaging.asNeeded,Take as needed,Take as needed,boolean,0..1
EHDSDosaging.asNeededFor,InstructionsForUse.DosingInstructions.Dosage.AsNeeded.Condition,AsNeeded.Condition,InstructionsForUse.DosingInstructions.Dosage.AsNeeded.Condition,NL: Criterium,CD,0..*,data,NL-CM:9.12.19945,"The condition for administering medication can be: 
-  a physiological measurement value (plasma glucose concentration, body temperature, blood pressure);
-  a symptom or other circumstance (in the event of a headache, or itch).
Supplemental information from G-standard bst362 make up the list of values for coded entering of this concept. Also always include the textual description of that code. 
Physiological measurement values or other conditions that do not occur in bst362 do not need to be coded. These can be expressed in free text in the Description concept.",,EHDSDosaging.asNeededFor,EHDSDosaging.asNeededFor,Take as needed for the coded reason,Take as needed for the coded reason,CodeableConcept,0..*
EHDSDosaging.bodySite,,,,,,,,,,,EHDSDosaging.bodySite,EHDSDosaging.bodySite,Body site of administration,Body site of administration,CodeableConcept,0..1
EHDSDosaging.doseAndRate,,,,,,,,,,,EHDSDosaging.doseAndRate,EHDSDosaging.doseAndRate,Amount of medication administered per one dose (= one timing),Amount of medication administered per one dose (= one timing),Base,0..*
EHDSDosaging.doseAndRate.dose[x],InstructionsForUse.DosingInstructions.Dosage.Dose::Range,Dose::Range,InstructionsForUse.DosingInstructions.Dosage.Dose::Range,NL: Keerdosis::Bereik,,0..1,"data,reference",NL-CM:9.12.19940,The dose indicates the amount/unit per administration. The unit can be any unit that can occur with this particular medicine.,,EHDSDosaging.doseAndRate.dose[x],EHDSDosaging.doseAndRate.dose[x],"Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)","Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)",Quantity,0..1
EHDSDosaging.doseAndRate.rate[x],InstructionsForUse.DosingInstructions.Dosage.AdministeringSpeed::Range,AdministeringSpeed::Range,InstructionsForUse.DosingInstructions.Dosage.AdministeringSpeed::Range,NL: Toedieningssnelheid::Bereik,,0..1,"data,reference",NL-CM:9.12.19942,"The administering speed is used in slow administration of liquid. In practice, the measuring unit is almost always ml/hour. 
Entering an interval (such as 0-10 ml/hour) is also a commonly used option. 

For example, with an administering speed of 10ml/hour: 
-  amount = 10, 
  <li>dose unit = ml, 
  <li>time unit = hour 
-  dose unit = ml, 
  <li>time unit = hour 
-  time unit = hour ",,EHDSDosaging.doseAndRate.rate[x],EHDSDosaging.doseAndRate.rate[x],"Time period during which one defined dose is administered (per 1 hour, per 5-10 minutes)","Time period during which one defined dose is administered (per 1 hour, per 5-10 minutes)",Ratio,0..1
EHDSDosaging.doseAndRate.type,,,,,,,,,,,EHDSDosaging.doseAndRate.type,EHDSDosaging.doseAndRate.type,"The kind of dose or rate specified (e.g calculated, ordered, etc).","The kind of dose or rate specified (e.g calculated, ordered, etc).",CodeableConcept,0..1
EHDSDosaging.maxDose,,,,,,,,,,,EHDSDosaging.maxDose,EHDSDosaging.maxDose,Maximum dose for the patient,Maximum dose for the patient,Base,0..*
