xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSEncounter,Encounter,Encounter,Encounter,NL: Contact,,,rootconcept,NL-CM:15.1.1,Root concept of the Encounter information model. This concept contains all data elements of the Encounter information model.,SNOMED CT: 308335008 Patient encounter procedure,EHDSEncounter,EHDSEncounter,Encounter model,EHDS refined base model for Encounter,,0..*,
EHDSEncounter.actualPeriod,Encounter.DateTime,DateTime,Encounter.DateTime,NL: DatumTijd,TS,1,data,NL-CM:15.1.3,The date and time at which the encounter took or will take place.,,EHDSEncounter.actualPeriod,EHDSEncounter.actualPeriod,The actual start and end time of the encounter,The actual start and end time of the encounter,Period,0..1,
EHDSEncounter.admission,,,,,,,,,,,EHDSEncounter.admission,EHDSEncounter.admission,Details about the admission to a healthcare service,Details about the admission to a healthcare service,Base,0..1,
EHDSEncounter.admission.admitSource,,,,,,,,,,,EHDSEncounter.admission.admitSource,EHDSEncounter.admission.admitSource,"From where the patient was admitted (e.g. physician referral, transfer).","From where the patient was admitted (e.g. physician referral, transfer).",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'hl7:admit-source'}"
EHDSEncounter.admission.admitter,,,,,,,,,,,EHDSEncounter.admission.admitter,EHDSEncounter.admission.admitter,Admitting healthcare professional,Admitting healthcare professional,EHDSHealthProfessional,0..1,
EHDSEncounter.admission.legalStatus,,,,,,,,,,,EHDSEncounter.admission.legalStatus,EHDSEncounter.admission.legalStatus,Legal status/situation at admission (indicates the basis on which the patient is staying in a healthcare organisation).,"Legal status can be either voluntary or involuntary, however the legal status is always determined by a court. A patient can also receive healthcare based on a forensic status. (voluntary, involuntary, admission by legal authority).",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSEncounter.admission.reasonComment,Encounter.HealthProfessional.CommentEncounterReason,CommentEncounterReason,Encounter.HealthProfessional.CommentEncounterReason,NL: ToelichtingRedenContact,ST,0..1,data,NL-CM:15.1.17,"Comment on the reason for the encounter, insofar as this cannot be sufficiently expressed in the other elements.",LOINC: 48767-8 Annotation comment [Interpretation] Narrative,EHDSEncounter.admission.reasonComment,EHDSEncounter.admission.reasonComment,Explanation of the reason for the encounter.,Explanation of the reason for the encounter.,string,0..1,
EHDSEncounter.admission.reason[x],Encounter.EncounterReason.Reason,Reason,Encounter.EncounterReason.Reason,NL: AanleidingContact,CD,1,data,NL-CM:15.1.20,Main reason for the encounter within the context of the health problem.,,EHDSEncounter.admission.reason[x],EHDSEncounter.admission.reason[x],"Reason(s) for admission, e.g. problem, procedure or finding.","Reason(s) for admission, e.g. problem, procedure or finding.",CodeableConcept,0..*,
EHDSEncounter.admission.referringProfessional,,,,,,,,,,,EHDSEncounter.admission.referringProfessional,EHDSEncounter.admission.referringProfessional,Referring Healthcare Professional,Referring Healthcare Professional,EHDSHealthProfessional,0..1,
EHDSEncounter.basedOn[x],,,,,,,,,,,EHDSEncounter.basedOn[x],EHDSEncounter.basedOn[x],Reference to the request that initiated this encounter,Reference to the request that initiated this encounter,EHDSCarePlan,0..*,
EHDSEncounter.discharge,,,,,,,,,,,EHDSEncounter.discharge,EHDSEncounter.discharge,Discharge details,Discharge details,Base,0..1,
EHDSEncounter.discharge.destinationLocation[x],,,,,,,,,,,EHDSEncounter.discharge.destinationLocation[x],EHDSEncounter.discharge.destinationLocation[x],"The location/organisation to which the patient will go after the encounter. Name, address and telecommunication contact.","The location/organisation to which the patient will go after the encounter. Name, address and telecommunication contact.",EHDSOrganisation,0..1,
EHDSEncounter.discharge.destinationType,,,,,,,,,,,EHDSEncounter.discharge.destinationType,EHDSEncounter.discharge.destinationType,"Type of location to which the patient will go after the encounter. E.g. home, hospital, nursing home, left against medical advice etc.","Type of location to which the patient will go after the encounter. E.g. home, hospital, nursing home, left against medical advice etc.",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'hl7.discharge-disposition'}"
