xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSEpisodeOfCare,EpisodeOfCare,EpisodeOfCare,EpisodeOfCare,NL: ZorgEpisode,,,rootconcept,NL-CM:16.6.1,Root concept of the EpisodeOfCare information model.This root concept contains all data elements of the EpisodeOfCare information model.,,EHDSEpisodeOfCare,EHDSEpisodeOfCare,Episode of care model,EHDS refined base model for Episode of care,,0..*,
EHDSEpisodeOfCare.header,,,,,,,,,,,EHDSEpisodeOfCare.header,EHDSEpisodeOfCare.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSEpisodeOfCare.header.subject,,,,,,,,,,,EHDSEpisodeOfCare.header.subject,EHDSEpisodeOfCare.header.subject,Patient/subject information,Patient/subject information,EHDSPatient,1..1,
EHDSEpisodeOfCare.header.identifier,,,,,,,,,,,EHDSEpisodeOfCare.header.identifier,EHDSEpisodeOfCare.header.identifier,Business identifiers assigned to this episode of care.,Business identifier for the object,Identifier,0..*,
EHDSEpisodeOfCare.header.authorship,,,,,,,,,,,EHDSEpisodeOfCare.header.authorship,EHDSEpisodeOfCare.header.authorship,Resource authoring details,Resource authoring details,Base,1..*,
EHDSEpisodeOfCare.header.authorship.author[x],,,,,,,,,,,EHDSEpisodeOfCare.header.authorship.author[x],EHDSEpisodeOfCare.header.authorship.author[x],Author(s) by whom the resource was/were authored. Multiple authors could be provided.,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSEpisodeOfCare.header.authorship.datetime,,,,,,,,,,,EHDSEpisodeOfCare.header.authorship.datetime,EHDSEpisodeOfCare.header.authorship.datetime,Date and time of authoring/issuing,Date and time of authoring/issuing,dateTime,1..1,
EHDSEpisodeOfCare.header.lastUpdate,,,,,,,,,,,EHDSEpisodeOfCare.header.lastUpdate,EHDSEpisodeOfCare.header.lastUpdate,Date and time of the last update to the resource (may be used for technical corrections).,Date and time of the last update to the resource (may be used for technical corrections).,dateTime,0..1,
EHDSEpisodeOfCare.header.status,,,,,,,,,,,EHDSEpisodeOfCare.header.status,EHDSEpisodeOfCare.header.status,Status of the resource or document,Status of the resource or document,CodeableConcept,1..1,
EHDSEpisodeOfCare.header.statusReason[x],,,,,,,,,,,EHDSEpisodeOfCare.header.statusReason[x],EHDSEpisodeOfCare.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSEpisodeOfCare.header.language,,,,,,,,,,,EHDSEpisodeOfCare.header.language,EHDSEpisodeOfCare.header.language,Language in which the resource is written. Language is expressed by the IETF language tag.,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSEpisodeOfCare.type,,,,,,,,,,,EHDSEpisodeOfCare.type,EHDSEpisodeOfCare.type,"A classification of the type of episode of care; e.g. specialist referral, disease management.","A classification of the type of episode of care; e.g. specialist referral, disease management.",CodeableConcept,0..*,
EHDSEpisodeOfCare.reasonText,,,,,,,,,,,EHDSEpisodeOfCare.reasonText,EHDSEpisodeOfCare.reasonText,Textual descriptions of the medical reasons that are expected to be addressed during the episode of care.,Textual descriptions of the medical reasons that are expected to be addressed during the episode of care.,string,0..1,
