xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSFamilyMemberHistory,FamilyHistory,FamilyHistory,FamilyHistory,NL: Familieanamnese,,,rootconcept,NL-CM:6.1.1,Root concept of the FamilyHistory information model. This root concept contains all data elements of the FamilyHistory information model.,,EHDSFamilyMemberHistory,EHDSFamilyMemberHistory,Family member history model,EHDS refined base model for family member history,,0..*,
EHDSFamilyMemberHistory.header,,,,,,,,,,,EHDSFamilyMemberHistory.header,EHDSFamilyMemberHistory.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSFamilyMemberHistory.header.subject,,,,,,,,,,,EHDSFamilyMemberHistory.header.subject,EHDSFamilyMemberHistory.header.subject,The person whose family member's medical history is described.,Patient/subject information,EHDSPatient,1..1,
EHDSFamilyMemberHistory.header.identifier,,,,,,,,,,,EHDSFamilyMemberHistory.header.identifier,EHDSFamilyMemberHistory.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSFamilyMemberHistory.header.authorship,,,,,,,,,,,EHDSFamilyMemberHistory.header.authorship,EHDSFamilyMemberHistory.header.authorship,Resource authoring details,Resource authoring details,Base,1..*,
EHDSFamilyMemberHistory.header.authorship.author[x],,,,,,,,,,,EHDSFamilyMemberHistory.header.authorship.author[x],EHDSFamilyMemberHistory.header.authorship.author[x],Author(s) by whom the resource was/were authored. Multiple authors could be provided.,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSFamilyMemberHistory.header.authorship.datetime,FamilyHistory.Date,Date,FamilyHistory.Date,NL: Datum,TS,0..1,data,NL-CM:6.1.2,Date on which the family history was entered. A ‘vague’ date is permitted.,,EHDSFamilyMemberHistory.header.authorship.datetime,EHDSFamilyMemberHistory.header.authorship.datetime,Date and time of authoring/issuing,Date and time of authoring/issuing,dateTime,1..1,
EHDSFamilyMemberHistory.header.lastUpdate,,,,,,,,,,,EHDSFamilyMemberHistory.header.lastUpdate,EHDSFamilyMemberHistory.header.lastUpdate,Date and time of the last update to the resource (may be used for technical corrections).,Date and time of the last update to the resource (may be used for technical corrections).,dateTime,0..1,
EHDSFamilyMemberHistory.header.status,,,,,,,,,,,EHDSFamilyMemberHistory.header.status,EHDSFamilyMemberHistory.header.status,Status of the resource or document,Status of the resource or document,CodeableConcept,1..1,
EHDSFamilyMemberHistory.header.statusReason[x],,,,,,,,,,,EHDSFamilyMemberHistory.header.statusReason[x],EHDSFamilyMemberHistory.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSFamilyMemberHistory.header.language,,,,,,,,,,,EHDSFamilyMemberHistory.header.language,EHDSFamilyMemberHistory.header.language,Language in which the resource is written. Language is expressed by the IETF language tag.,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
