xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSHumanName,NameInformation,NameInformation,NameInformation,NL: Naamgegevens,,,rootconcept,NL-CM:20.4.1,Root concept of the NameInformation partial information model. This root concept contains all data elements of the NameInformation partial information model.,,EHDSHumanName,EHDSHumanName,Human name model,C.27 - EHDS refined base model for Human name,,0..*,
EHDSHumanName.family,,,,,,,,,,,EHDSHumanName.family,EHDSHumanName.family,C.27.3 - Family,The family name/surname/last name of the patient. This field can contain more than one  element or multiple fields could be present.,string,0..*,
EHDSHumanName.given,NameInformation.FirstNames,FirstNames,NameInformation.FirstNames,NL: Voornamen,ST,0..1,data,NL-CM:20.4.4,The person’s official first names.,,EHDSHumanName.given,EHDSHumanName.given,C.27.4 - Given,The given name/first name  (also known as forename or first name).,string,0..*,
EHDSHumanName.given,NameInformation.GivenName,GivenName,NameInformation.GivenName,NL: Roepnaam,ST,0..1,data,NL-CM:20.4.6,The name normally used to address the person.,,EHDSHumanName.given,EHDSHumanName.given,C.27.4 - Given,The given name/first name  (also known as forename or first name).,string,0..*,
EHDSHumanName.prefix,NameInformation.Titles,Titles,NameInformation.Titles,NL: Titels,ST,0..1,data,NL-CM:20.4.12,Noble and scientific titles. These can assist in formulating oral and formal addresing titles.,,EHDSHumanName.prefix,EHDSHumanName.prefix,C.27.5 - Prefix,Name parts that come before the name. Prefixes appear in the correct order for presenting the name.,string,0..*,
EHDSHumanName.suffix,NameInformation.Titles,Titles,NameInformation.Titles,NL: Titels,ST,0..1,data,NL-CM:20.4.12,Noble and scientific titles. These can assist in formulating oral and formal addresing titles.,,EHDSHumanName.suffix,EHDSHumanName.suffix,C.27.6 - Suffix,Name parts that come after the name. Suffixes appear in the correct order for presenting the name.,string,0..*,
EHDSHumanName.text,,,,,,,,,,,EHDSHumanName.text,EHDSHumanName.text,C.27.2 - Text,Specifies the entire name as it should be displayed e.g. on an application UI. This may be provided instead of or as well as the specific parts.,string,0..1,
EHDSHumanName.use,,,,,,,,,,,EHDSHumanName.use,EHDSHumanName.use,C.27.1 - Use,Identifies the purpose for this name.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'hl7:NameUse'}"
,NameInformation.GivenName,GivenName,NameInformation.GivenName,NL: Roepnaam,ST,0..1,data,NL-CM:20.4.6,The name normally used to address the person.,,,,,,,,
,NameInformation.Initials,Initials,NameInformation.Initials,NL: Initialen,ST,0..1,data,NL-CM:20.4.5,The person’s initials.,,,,,,,,
,NameInformation.LastNamePartner,LastNamePartner,NameInformation.LastNamePartner,NL: GeslachtsnaamPartner,,0..1,container,NL-CM:20.4.3,Container of the LastNamePartner concept. This container contains all data elements of the LastNamePartner concept.,,,,,,,,
,NameInformation.LastNamePartner.PartnerLastName,PartnerLastName,NameInformation.LastNamePartner.PartnerLastName,NL: AchternaamPartner,ST,1,data,NL-CM:20.4.8,Partner’s official last name.,,,,,,,,
,NameInformation.LastNamePartner.PartnerPrefix,PartnerPrefix,NameInformation.LastNamePartner.PartnerPrefix,NL: VoorvoegselsPartner,ST,0..1,data,NL-CM:20.4.9,Prefix to the partner’s last name.,,,,,,,,
,NameInformation.NameUsage,NameUsage,NameInformation.NameUsage,NL: Naamgebruik,CD,0..1,data,NL-CM:20.4.7,This concept indicates the last name or order of last names with which the person is to be addressed.,,,,,,,,
,NameInformation.Surname,Surname,NameInformation.Surname,NL: Geslachtsnaam,,0..1,container,NL-CM:20.4.2,Container of the Surname concept. This container contains all data elements of the Surname concept.,,,,,,,,
,NameInformation.Surname.LastName,LastName,NameInformation.Surname.LastName,NL: Achternaam,ST,1,data,NL-CM:20.4.10,The person’s official last name,,,,,,,,
,NameInformation.Surname.Prefix,Prefix,NameInformation.Surname.Prefix,NL: Voorvoegsels,ST,0..1,data,NL-CM:20.4.11,Prefix to the person’s own last name.,,,,,,,,
