xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSLaboratoryObservation,LaboratoryTestResult.LaboratoryTest,LaboratoryTest,LaboratoryTestResult.LaboratoryTest,NL: LaboratoriumTest,,0..*,container,NL-CM:13.1.3,Container of the LaboratoryTest concept. This container contains all data elements of the LaboratoryTest concept.,,EHDSLaboratoryObservation,EHDSLaboratoryObservation,Laboratory observation model,EHDS refined base model for Observation performed by laboratory,,0..*,
EHDSLaboratoryObservation.accreditationStatus,,,,,,,,,,,EHDSLaboratoryObservation.accreditationStatus,EHDSLaboratoryObservation.accreditationStatus,Accreditation status of the laboratory for the observation.,Accreditation status of the laboratory for the observation.,boolean,0..1,
EHDSLaboratoryObservation.anatomicLocation,,,,,,,,,,,EHDSLaboratoryObservation.anatomicLocation,EHDSLaboratoryObservation.anatomicLocation,Anatomic location and laterality where the observation was performed.,Anatomic location and laterality where the observation was performed.,EHDSBodyStructure,0..1,
EHDSLaboratoryObservation.calibrator,,,,,,,,,,,EHDSLaboratoryObservation.calibrator,EHDSLaboratoryObservation.calibrator,Information about which end-user calibrator the laboratory used for the measurement to indicate the metrological traceability chain. ,Information about which end-user calibrator the laboratory used for the measurement to indicate the metrological traceability chain. ,Identifier,0..1,
EHDSLaboratoryObservation.code,LaboratoryTestResult.LaboratoryTest.TestCode,TestCode,LaboratoryTestResult.LaboratoryTest.TestCode,NL: TestCode,CD,1,data,NL-CM:13.1.8,The name and code of the executed test.,,EHDSLaboratoryObservation.code,EHDSLaboratoryObservation.code,Observation code,Code representing the observation using the agreed code systems.,CodeableConcept,1..1,"{'strength': 'preferred', 'description': 'LOINC, NPU'}"
EHDSLaboratoryObservation.component,,,,,,,,,,,EHDSLaboratoryObservation.component,EHDSLaboratoryObservation.component,Component in case the observation consists of multiple sub-observations (e.g. blood pressure).,Component in case the observation consists of multiple sub-observations (e.g. blood pressure).,Base,0..*,
EHDSLaboratoryObservation.component.code,,,,,,,,,,,EHDSLaboratoryObservation.component.code,EHDSLaboratoryObservation.component.code,Code representing the observation using the agreed code systems.,Code representing the observation using the agreed code systems.,CodeableConcept,1..1,"{'strength': 'preferred', 'description': 'LOINC, NPU, SNOMED CT'}"
EHDSLaboratoryObservation.component.dataAbsentReason,,,,,,,,,,,EHDSLaboratoryObservation.component.dataAbsentReason,EHDSLaboratoryObservation.component.dataAbsentReason,Provides a reason why the expected value in the element Observation.value[x] is missing.,Provides a reason why the expected value in the element Observation.value[x] is missing.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 Data absent reason'}"
EHDSLaboratoryObservation.component.interpretation,,,,,,,,,,,EHDSLaboratoryObservation.component.interpretation,EHDSLaboratoryObservation.component.interpretation,Information about reference intervals and result interpretation.,Information about reference intervals and result interpretation.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, HL7 ObservationInterpretation'}"
EHDSLaboratoryObservation.component.referenceRange,,,,,,,,,,,EHDSLaboratoryObservation.component.referenceRange,EHDSLaboratoryObservation.component.referenceRange,"Reference range, multiple reference ranges of different types culd by provided. Provides guide for interpretation of result.","Reference range, multiple reference ranges of different types culd by provided. Provides guide for interpretation of result.",Base,0..*,
EHDSLaboratoryObservation.component.result,,,,,,,,,,,EHDSLaboratoryObservation.component.result,EHDSLaboratoryObservation.component.result,"Result of the observation including text, numeric and coded results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.","Result of the observation including text, numeric and coded results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.",Base,0..1,
EHDSLaboratoryObservation.component.result.uncertainty,,,,,,,,,,,EHDSLaboratoryObservation.component.result.uncertainty,EHDSLaboratoryObservation.component.result.uncertainty,Measurement uncertainty type and interval if needed.,Measurement uncertainty type and interval if needed.,Base,0..1,
EHDSLaboratoryObservation.component.result.value[x],,,,,,,,,,,EHDSLaboratoryObservation.component.result.value[x],EHDSLaboratoryObservation.component.result.value[x],Observation result value according to the type of observation,Observation result value according to the type of observation,string,1..1,
EHDSLaboratoryObservation.dataAbsentReason,,,,,,,,,,,EHDSLaboratoryObservation.dataAbsentReason,EHDSLaboratoryObservation.dataAbsentReason,Provides a reason why the expected value in the element Observation.value[x] is missing.,Provides a reason why the expected value in the element Observation.value[x] is missing.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 Data absent reason'}"
EHDSLaboratoryObservation.derivedFrom[x],,,,,,,,,,,EHDSLaboratoryObservation.derivedFrom[x],EHDSLaboratoryObservation.derivedFrom[x],"Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.","Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.",EHDSObservation,0..*,
