xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSSpecimen,LaboratoryTestResult.Specimen,Specimen,LaboratoryTestResult.Specimen,NL: Monster,,0..1,container,NL-CM:13.1.2,"Container of the concept Specimen. This container contains all data elements of the concept Specimen. A completed container is related to a sample from the Snomed Hierarchy. 
 
If the TestCode implicitly also describes a specimen (often the case if coded in LOINC), elements within the concept specimen may not conflict with it. However, if desired, these data can provide a more detailed description.This is in line with the agreements made in the IHE/Nictiz e-Lab programme.",SNOMED CT: 123038009 Specimen,EHDSSpecimen,EHDSSpecimen,Specimen model,EHDS refined base model for A sample to be used for Analysis,,0..*,
EHDSSpecimen.bodySite,LaboratoryTestResult.Specimen.AnatomicalLocation,AnatomicalLocation,LaboratoryTestResult.Specimen.AnatomicalLocation,NL: AnatomischeLocatie,,0..1,"data,reference",NL-CM:13.1.36,"Anatomical location where the material is collected, e.g. elbow.",SNOMED CT: 405814001 Procedure site - Indirect,EHDSSpecimen.bodySite,EHDSSpecimen.bodySite,"Anatomic location (body location, laterality) where the material is collected, e.g. Elbow, left","Anatomic location (body location, laterality) where the material is collected, e.g. Elbow, left",EHDSBodyStructure,0..1,
EHDSSpecimen.collectionPeriod,,,,,,,,,,,EHDSSpecimen.collectionPeriod,EHDSSpecimen.collectionPeriod,The period or date and time of specimen collection.,The period or date and time of specimen collection.,Period,0..1,
EHDSSpecimen.collectionProcedure,,,,,,,,,,,EHDSSpecimen.collectionProcedure,EHDSSpecimen.collectionProcedure,The procedure that collects the specimen.,The procedure that collects the specimen.,EHDSProcedure,0..1,
EHDSSpecimen.collectionProcedureMethod,,,,,,,,,,,EHDSSpecimen.collectionProcedureMethod,EHDSSpecimen.collectionProcedureMethod,Collection procedure method,"If relevant for the results, the method of obtaining the specimen.",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSSpecimen.container,,,,,,,,,,,EHDSSpecimen.container,EHDSSpecimen.container,The container holding the specimen.,The container holding the specimen.,Base,0..*,
EHDSSpecimen.container.containerDevice,LaboratoryTestResult.Specimen.ContainerType,ContainerType,LaboratoryTestResult.Specimen.ContainerType,NL: Containertype,CD,0..1,data,NL-CM:13.1.21,"Container type describes the envelope in which the material is collected or sent. Examples include blood tubes, transport container, possibly including culture medium.",SNOMED CT: 706046003 Specimen receptacle,EHDSSpecimen.container.containerDevice,EHDSSpecimen.container.containerDevice,Container device,The device resource for the the container holding the specimen.,EHDSDevice,1..1,
EHDSSpecimen.container.specimenQuantity,,,,,,,,,,,EHDSSpecimen.container.specimenQuantity,EHDSSpecimen.container.specimenQuantity,Specimen quantity,Quantity of specimen within container.,Quantity,0..1,
EHDSSpecimen.identifier,LaboratoryTestResult.Specimen.SpecimenId,SpecimenId,LaboratoryTestResult.Specimen.SpecimenId,NL: Monsternummer,II,0..1,data,NL-CM:13.1.15,"Identification number of the material obtained, as a reference for inquiries to the source organization. In a transmural setting, this number will consist of a specimen number including the identification of the issuing organization, to be unique outside of the borders of an organization.",,EHDSSpecimen.identifier,EHDSSpecimen.identifier,An identifier of the specimen which is unique within in a defined scope.,"An identifier of the specimen which is unique within in a defined scope. Example: identifier assigned by ordering system, identifier assigned by laboratory etc. Multiple identifiers can be used.",Identifier,1..*,
EHDSSpecimen.material,LaboratoryTestResult.Specimen.SpecimenMaterial,SpecimenMaterial,LaboratoryTestResult.Specimen.SpecimenMaterial,NL: Monstermateriaal,CD,0..1,data,NL-CM:13.1.16,"Specimen material describes the base material or specimen type taken. For example: Urine, blood, Saliva etc or aspirate from jejunum, biopsy of cartilage etc.. This element refers to the Substance or Specimen hierarchy in Snomed. If the Specimen branch is used for this data element, it must not contradict other elements in this zib.",SNOMED CT: 370133003 Specimen substance,EHDSSpecimen.material,EHDSSpecimen.material,Material that forms the specimen.,Material that forms the specimen.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
