xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSLaboratoryReport,LaboratoryTestResult,LaboratoryTestResult,LaboratoryTestResult,NL: LaboratoriumUitslag,,,rootconcept,NL-CM:13.1.1,Root concept of the LaboratoryTestResult information model. This root concept contains all data elements of the LaboratoryTestResult information model.,,EHDSLaboratoryReport,EHDSLaboratoryReport,Laboratory report model,EHDS refined base model for Laboratory result report,,0..*,
EHDSLaboratoryReport.attachments[x],,,,,,,,,,,EHDSLaboratoryReport.attachments[x],EHDSLaboratoryReport.attachments[x],Report attachments data elements,Report attachments data elements,EHDSAttachment,0..*,
EHDSLaboratoryReport.body,,,,,,,,,,,EHDSLaboratoryReport.body,EHDSLaboratoryReport.body,Laboratory Report structured body,Laboratory Report structured body,Base,0..1,
EHDSLaboratoryReport.body.orderInformation,,,,,,,,,,,EHDSLaboratoryReport.body.orderInformation,EHDSLaboratoryReport.body.orderInformation,Order Information (Laboratory Result Report could respond to multiple test orders),Order Information (Laboratory Result Report could respond to multiple test orders),Base,0..*,
EHDSLaboratoryReport.body.orderInformation.clinicalQuestion,,,,,,,,,,,EHDSLaboratoryReport.body.orderInformation.clinicalQuestion,EHDSLaboratoryReport.body.orderInformation.clinicalQuestion,Specification of clinical question (goal of the investigation) to be answered by the laboratory investigation.,Specification of clinical question (goal of the investigation) to be answered by the laboratory investigation.,string,0..1,
EHDSLaboratoryReport.body.orderInformation.orderDateAndTime,,,,,,,,,,,EHDSLaboratoryReport.body.orderInformation.orderDateAndTime,EHDSLaboratoryReport.body.orderInformation.orderDateAndTime,Date and time of the order placement.,Date and time of the order placement.,dateTime,0..1,
EHDSLaboratoryReport.body.orderInformation.orderId,,,,,,,,,,,EHDSLaboratoryReport.body.orderInformation.orderId,EHDSLaboratoryReport.body.orderInformation.orderId,An identifier of the laboratory test order. Laboratory Result Report may respond to multiple orders.,An identifier of the laboratory test order. Laboratory Result Report may respond to multiple orders.,Identifier,1..*,
EHDSLaboratoryReport.body.orderInformation.orderPlacer[x],,,,,,,,,,,EHDSLaboratoryReport.body.orderInformation.orderPlacer[x],EHDSLaboratoryReport.body.orderInformation.orderPlacer[x],"The person/organisation ""authorised"" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.","The person/organisation ""authorised"" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.",EHDSHealthProfessional,0..1,
EHDSLaboratoryReport.body.orderInformation.orderReasonText,,,,,,,,,,,EHDSLaboratoryReport.body.orderInformation.orderReasonText,EHDSLaboratoryReport.body.orderInformation.orderReasonText,An explanation or justification for why this service is being requested in textual form.,An explanation or justification for why this service is being requested in textual form.,string,0..*,
EHDSLaboratoryReport.body.orderInformation.orderReason[x],,,,,,,,,,,EHDSLaboratoryReport.body.orderInformation.orderReason[x],EHDSLaboratoryReport.body.orderInformation.orderReason[x],An explanation or justification for why this service is being requested in coded form. ,An explanation or justification for why this service is being requested in coded form.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSLaboratoryReport.body.supportingInformation,,,,,,,,,,,EHDSLaboratoryReport.body.supportingInformation,EHDSLaboratoryReport.body.supportingInformation,"Additional clinical information about the patient or specimen that may influence the services or their interpretations. This information includes diagnosis, clinical findings and other observations. In laboratory ordering these are typically referred to as 'ask at order entry questions (AOEs).' This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the amount of inspired oxygen for blood gas measurements.","Additional clinical information about the patient or specimen that may influence the services or their interpretations. This information includes diagnosis, clinical findings and other observations. In laboratory ordering these are typically referred to as 'ask at order entry questions (AOEs).' This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the amount of inspired oxygen for blood gas measurements.",Base,0..1,
EHDSLaboratoryReport.body.supportingInformation.condition,,,,,,,,,,,EHDSLaboratoryReport.body.supportingInformation.condition,EHDSLaboratoryReport.body.supportingInformation.condition,Condition that may influence the service or result interpretation.,Condition that may influence the service or result interpretation.,EHDSCondition,0..*,
EHDSLaboratoryReport.body.supportingInformation.medicationAdministration,,,,,,,,,,,EHDSLaboratoryReport.body.supportingInformation.medicationAdministration,EHDSLaboratoryReport.body.supportingInformation.medicationAdministration,Medication administered before ordering the service.,Medication administered before ordering the service.,EHDSMedicationAdministration,0..*,
EHDSLaboratoryReport.body.supportingInformation.observation,,,,,,,,,,,EHDSLaboratoryReport.body.supportingInformation.observation,EHDSLaboratoryReport.body.supportingInformation.observation,Clinical findings and other observations.,Clinical findings and other observations.,EHDSObservation,0..*,
EHDSLaboratoryReport.body.supportingInformation.otherSupportingInformation,,,,,,,,,,,EHDSLaboratoryReport.body.supportingInformation.otherSupportingInformation,EHDSLaboratoryReport.body.supportingInformation.otherSupportingInformation,Any other type of relevant supporting information,Any other type of relevant supporting information,Resource,0..*,
