xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSLocation,HealthcareProvider,HealthcareProvider,HealthcareProvider,NL: Zorgaanbieder,,,rootconcept,NL-CM:17.2.1,Root concept of the Healthcare Provider information model. This root concept contains all data elements of the Healthcare Provider information model.,SNOMED CT: 257622000 Healthcare facility,EHDSLocation,EHDSLocation,Location model,"C.17 - EHDS refined base model for Details and position information for a place where services are provided and resources and participants may be stored, found, contained, or accommodated.",,0..*,
EHDSLocation.address,HealthcareProvider.AddressInformation,AddressInformation,HealthcareProvider.AddressInformation,NL: Adresgegevens,,0..*,"data,reference",NL-CM:17.2.5,The physical address of the healthcare provider’s location.,,EHDSLocation.address,EHDSLocation.address,C.17.5 - Address,Physical location address,EHDSAddress,0..1,
EHDSLocation.description,HealthcareProvider.OrganizationLocation.LocationName,LocationName,HealthcareProvider.OrganizationLocation.LocationName,NL: LocatieNaam,ST,0..1,data,NL-CM:17.2.8,"Name of the location, in case a healthcare organization has more than one location.",,EHDSLocation.description,EHDSLocation.description,C.17.3 - Description,Additional details about the location that could be displayed as further information to identify the location beyond its name,string,0..1,
EHDSLocation.description,HealthcareProvider.OrganizationLocation.LocationNumber,LocationNumber,HealthcareProvider.OrganizationLocation.LocationNumber,NL: LocatieNummer,INT,0..1,data,NL-CM:17.2.10,"Number of the location Number, if a numerical location identification is used next to or instead of a location name.",,EHDSLocation.description,EHDSLocation.description,C.17.3 - Description,Additional details about the location that could be displayed as further information to identify the location beyond its name,string,0..1,
EHDSLocation.identifier,,,,,,,,,,,EHDSLocation.identifier,EHDSLocation.identifier,C.17.1 - Identifier,Location identifier,Identifier,0..*,
EHDSLocation.managingOrganization,,,,,,,,,,,EHDSLocation.managingOrganization,EHDSLocation.managingOrganization,C.17.7 - Managing organization,The organization responsible for the provisioning and upkeep of the location,Reference,0..1,
EHDSLocation.name,,,,,,,,,,,EHDSLocation.name,EHDSLocation.name,C.17.2 - Name,Name of the location as used by humans,string,0..1,
EHDSLocation.partOf,,,,,,,,,,,EHDSLocation.partOf,EHDSLocation.partOf,C.17.8 - Part of,Another Location of which this Location is physically a part of,Reference,0..1,
EHDSLocation.position,,,,,,,,,,,EHDSLocation.position,EHDSLocation.position,C.17.6 - Position,"The absolute geographic location of the Location, expressed using the WGS84 datum (This is the same co-ordinate system used in KML).",Base,0..1,
EHDSLocation.position.latitude,,,,,,,,,,,EHDSLocation.position.latitude,EHDSLocation.position.latitude,C.17.6.2 - Latitude,Latitude with WGS84 datum,decimal,1..1,
EHDSLocation.position.longitude,,,,,,,,,,,EHDSLocation.position.longitude,EHDSLocation.position.longitude,C.17.6.1 - Longitude,Longitude with WGS84 datum,decimal,1..1,
EHDSLocation.type,,,,,,,,,,,EHDSLocation.type,EHDSLocation.type,C.17.4 - Type,Type of function performed at the location,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'HL7 ServiceDeliveryLocationRoleType'}"
EHDSOrganization,,,,,,,,,,,EHDSOrganization,EHDSOrganization,Organization model,C.3 - EHDS refined base model for Health provider or any other type of organization,,0..*,
EHDSOrganization.address,,,,,,,,,,,EHDSOrganization.address,EHDSOrganization.address,C.3.4 - Address,"Mailing and home or office addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code; if this attribute is not present it is assumed to be the default address useful for any purpose.",EHDSAddress,0..*,
EHDSOrganization.identifier,HealthcareProvider.HealthcareProviderIdentificationNumber,HealthcareProviderIdentificationNumber,HealthcareProvider.HealthcareProviderIdentificationNumber,NL: ZorgaanbiederIdentificatienummer,II,0..*,data,NL-CM:17.2.2,"The organization’s identification number. For Dutch healthcare providers, the URA number or the AGB number is used, if possible. Depending on the context other IDs are also possible. For foreign or non-affiliated healthcare providers, another unique identification number can be used. This must be accompanied by the name and/or code of the issuing organization.",,EHDSOrganization.identifier,EHDSOrganization.identifier,C.3.1 - Identifier,Health provider organisation identifier,Identifier,0..*,
EHDSOrganization.name,HealthcareProvider.OrganizationName,OrganizationName,HealthcareProvider.OrganizationName,NL: OrganisatieNaam,ST,0..1,data,NL-CM:17.2.3,"Name of the organization. If an identification number is given, the name must match the name that corresponds to the identification number.",,EHDSOrganization.name,EHDSOrganization.name,C.3.3 - Name,Health provider organisation name,string,0..1,
EHDSOrganization.partOf,,,,,,,,,,,EHDSOrganization.partOf,EHDSOrganization.partOf,C.3.6 - Part of,The organization of which this organization forms a part,Reference,0..1,
EHDSOrganization.telecom,,,,,,,,,,,EHDSOrganization.telecom,EHDSOrganization.telecom,C.3.5 - Telecom,"Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided.",EHDSTelecom,0..*,
EHDSOrganization.type,HealthcareProvider.OrganizationType,OrganizationType,HealthcareProvider.OrganizationType,NL: OrganisatieType,CD,0..1,data,NL-CM:17.2.4,"The type of healthcare provider, such as general hospital, or nursing home. If this field is filled in and an AGB code is used for the HealthcareProviderIdentificationNumber, the type must match the type implicitly contained in the AGB code.",,EHDSOrganization.type,EHDSOrganization.type,C.3.2 - Type,Kind of organization,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'HL7 organization_type'}"
,HealthcareProvider.ContactInformation,ContactInformation,HealthcareProvider.ContactInformation,NL: Contactgegevens,,0..1,"data,reference",NL-CM:17.2.6,The information needed to contact the healthcare organization via telephone and/or e-mail.,,,,,,,,
,HealthcareProvider.DepartmentSpecialty,DepartmentSpecialty,HealthcareProvider.DepartmentSpecialty,NL: AfdelingSpecialisme,CD,0..1,data,NL-CM:17.2.7,The specialty of the healthcare provider’s department. The departmental specialty can be filled in if further indication of the healthcare provider is needed.,,,,,,,,
,,OrganizationLocation,HealthcareProvider.OrganizationLocation,NL: OrganisatieLocatie,,0..1,container,NL-CM:17.2.9,Container of the OrganizationLocation concept. This container contains all data elements of the OrganizationLocation concept.,,,,,,,,
