xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSMedicationAdministration,MedicationAdministration,MedicationAdministration,MedicationAdministration,NL: Medicatietoediening,,,rootconcept,NL-CM:9.13.20928,Root concept of the MedicationAdministration information model. This root concept contains all data elements of the MedicationAdministration information model.,SNOMED CT: 18629005 Administration of medication,EHDSMedicationAdministration,EHDSMedicationAdministration,Medication administration model,EHDS refined base model for a single medication administration,,0..*,
EHDSMedicationAdministration.header,,,,,,,,,,,EHDSMedicationAdministration.header,EHDSMedicationAdministration.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSMedicationAdministration.header.subject,,,,,,,,,,,EHDSMedicationAdministration.header.subject,EHDSMedicationAdministration.header.subject,Patient/subject information,Patient/subject information,EHDSPatient,1..1,
EHDSMedicationAdministration.header.identifier,,,,,,,,,,,EHDSMedicationAdministration.header.identifier,EHDSMedicationAdministration.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSMedicationAdministration.header.authorship,,,,,,,,,,,EHDSMedicationAdministration.header.authorship,EHDSMedicationAdministration.header.authorship,Resource authoring details,Resource authoring details,Base,1..*,
EHDSMedicationAdministration.header.authorship.author[x],,,,,,,,,,,EHDSMedicationAdministration.header.authorship.author[x],EHDSMedicationAdministration.header.authorship.author[x],Author(s) by whom the resource was/were authored. Multiple authors could be provided.,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSMedicationAdministration.header.authorship.datetime,,,,,,,,,,,EHDSMedicationAdministration.header.authorship.datetime,EHDSMedicationAdministration.header.authorship.datetime,Date and time of authoring/issuing,Date and time of authoring/issuing,dateTime,1..1,
EHDSMedicationAdministration.header.lastUpdate,,,,,,,,,,,EHDSMedicationAdministration.header.lastUpdate,EHDSMedicationAdministration.header.lastUpdate,Date and time of the last update to the resource (may be used for technical corrections).,Date and time of the last update to the resource (may be used for technical corrections).,dateTime,0..1,
EHDSMedicationAdministration.header.status,,,,,,,,,,,EHDSMedicationAdministration.header.status,EHDSMedicationAdministration.header.status,"Status of the administration (e.g. completed, not-done, on-hold, in-progress, unknown)",Status of the resource or document,CodeableConcept,1..1,"{'strength': 'preferred', 'description': 'HL7 MedicationAdimnistrationStatusCodes'}"
EHDSMedicationAdministration.header.statusReason[x],,,,,,,,,,,EHDSMedicationAdministration.header.statusReason[x],EHDSMedicationAdministration.header.statusReason[x],Reason administration was not performed,Reason for the current status of the resource.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSMedicationAdministration.header.language,,,,,,,,,,,EHDSMedicationAdministration.header.language,EHDSMedicationAdministration.header.language,Language in which the resource is written. Language is expressed by the IETF language tag.,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSMedicationAdministration.medication,MedicationAdministration.AdministrationProduct::PharmaceuticalProduct,AdministrationProduct::PharmaceuticalProduct,MedicationAdministration.AdministrationProduct::PharmaceuticalProduct,NL: ToedieningsProduct::FarmaceutischProduct,,1,"data,reference",NL-CM:9.13.20929,"The product taken or administered. This is usually medication. Food, blood products, aids and bandages do not strictly fall under the category of medication, but can be reported as well.  

In principle, this will be the prescribed product, but the administrator may substitute it by replacing the product with an equivalent product. For example: two 50mg tablets can be administered instead of one 100mg tablet.",,EHDSMedicationAdministration.medication,EHDSMedicationAdministration.medication,Administered medication,Administered medication,EHDSMedication,1..1,
EHDSMedicationAdministration.occurrence[x],MedicationAdministration.AdministrationDateTime,AdministrationDateTime,MedicationAdministration.AdministrationDateTime,NL: ToedieningsDatumTijd,TS,1,data,NL-CM:9.13.21193,The date and time at which the medication was administered.,,EHDSMedicationAdministration.occurrence[x],EHDSMedicationAdministration.occurrence[x],Specific date/time or interval of time during which the administration took place (or did not take place),Specific date/time or interval of time during which the administration took place (or did not take place),dateTime,1..1,
EHDSMedicationAdministration.reason[x],,,,,,,,,,,EHDSMedicationAdministration.reason[x],EHDSMedicationAdministration.reason[x],Condition or observation that supports why the medication was administered,Condition or observation that supports why the medication was administered,CodeableConcept,0..*,
EHDSMedicationAdministration.note,MedicationAdministration.Comment,Comment,MedicationAdministration.Comment,NL: Toelichting,ST,0..1,data,NL-CM:9.13.21337,Comments on administering the medication.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,EHDSMedicationAdministration.note,EHDSMedicationAdministration.note,Textual information about the administration,Textual information about the administration,string,0..1,
EHDSMedicationAdministration.dosage,,,,,,,,,,,EHDSMedicationAdministration.dosage,EHDSMedicationAdministration.dosage,Details of how medication was taken,Details of how medication was taken,EHDSDosage,0..1,
,MedicationAdministration.AdministeringSpeed,AdministeringSpeed,MedicationAdministration.AdministeringSpeed,NL: Toedieningssnelheid,PQ,0..1,data,NL-CM:9.13.23159,"The administering speed is used in slow administration of liquid. In practice, the measuring unit is almost always ml/hour. 
Entering an interval (such as 0-10 ml/hour) is also a commonly used option. 

For example, with an administering speed of 10ml/hour: 
-  amount = 10,
-  dose unit = ml
-  time unit = hour
Optionally a translation to NHG table Gebruiksvoorschriften(Table 25) is also allowed.",,,,,,,,
,MedicationAdministration.AdministeredAmount,AdministeredAmount,MedicationAdministration.AdministeredAmount,NL: ToegediendeHoeveelheid,PQ,0..1,data,NL-CM:9.13.21194,Amount of the administered product.,,,,,,,,
,MedicationAdministration.RouteOfAdministration,RouteOfAdministration,MedicationAdministration.RouteOfAdministration,NL: Toedieningsweg,CD,1,data,NL-CM:9.13.21195,"The route through which the medication is administered (oral, nasal, intravenous,...).",SNOMED CT: 410675002 Route of administration,,,,,,,
,MedicationAdministration.AdministrationLocation::AnatomicalLocation,AdministrationLocation::AnatomicalLocation,MedicationAdministration.AdministrationLocation::AnatomicalLocation,NL: Toedienlocatie::AnatomischeLocatie,,0..1,"data,reference",NL-CM:9.13.23381,"Location on or in the body where the medication was administered. Usually used to indicate the location at which a patient was administered an injection or patch was applied. The value list PrikPlakLocationCodelijst list can serve as a starting point for coding these concepts. If both the anatomical location and administration route are filled, they should be aligned.",,,,,,,,
,MedicationAdministration.AdministrationLocation::AnatomicalLocation.Location,Location,MedicationAdministration.AdministrationLocation::AnatomicalLocation.Location,NL: Locatie,CD,,data,NL-CM:20.7.4,Location from AnatomicalLocation.,,,,,,,,
,MedicationAdministration.Administrator,Administrator,MedicationAdministration.Administrator,NL: Toediener,,0..1,container,NL-CM:9.13.21196,"Container of the Administrator concept. This container contains all data elements of the Administrator concept. The concept describes the person who administered the product. This is a professional authorised administrator, the patient themselves or the caregiver, for example.",,,,,,,,
,MedicationAdministration.Administrator.Patient,Patient,MedicationAdministration.Administrator.Patient,NL: Patiënt,,(0..1),"context,reference",NL-CM:9.13.23380,"If the patient administered the medication themselves, indicate that here. If the medication is administered by a health professional or caregiver/family member/etc., the health professional is entered in the 'HealthProfessional' element or the caregiver/family member/etc. is entered in the 'Contact' element respectively.",,,,,,,,
,MedicationAdministration.Administrator.HealthProfessional,HealthProfessional,MedicationAdministration.Administrator.HealthProfessional,NL: Zorgverlener,,(0..1),"context,reference",NL-CM:9.13.23172,The concept describes the person who administered the product. This is a professional authorised administrator.,,,,,,,,
,MedicationAdministration.Administrator.Caregiver::Contact,Caregiver::Contact,MedicationAdministration.Administrator.Caregiver::Contact,NL: Mantelzorger::Contactpersoon,,(0..1),"context,reference",NL-CM:9.13.23355,Information on the patient’s personal relative or contact that administered the medication.,,,,,,,,
,MedicationAdministration.MedicationAdministrationReasonForDeviation,MedicationAdministrationReasonForDeviation,MedicationAdministration.MedicationAdministrationReasonForDeviation,NL: MedicatietoedieningRedenVanAfwijken,CD,0..1,data,NL-CM:9.13.23166,"Reason why the medication was not taken or administered or was taken or administered differently. Here, you can choose to enter text or one of the codes.",SNOMED CT: 153631000146105 Reason for deviation in administration of drug or medicament,,,,,,,
