xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSMedicationDispense,MedicationDispense,MedicationDispense,MedicationDispense,NL: Medicatieverstrekking,,,rootconcept,NL-CM:9.9.20270,Root concept of the MedicationDispense information model. This root concept contains all data elements of the MedicationDispense information model.,SNOMED CT: 373784005 Dispensing medication,EHDSMedicationDispense,EHDSMedicationDispense,Medication dispense model,Logical model for medication dispensation (based on request or independently),,0..*,
EHDSMedicationDispense.comment,MedicationDispense.Comment,Comment,MedicationDispense.Comment,NL: Toelichting,ST,0..1,data,NL-CM:9.9.22276,Comments on the dispense.,,EHDSMedicationDispense.comment,EHDSMedicationDispense.comment,Additional information or comments,Additional information or comments,string,0..*,
EHDSMedicationDispense.dispenseLocation,MedicationDispense.DispenseLocation,DispenseLocation,MedicationDispense.DispenseLocation,NL: Afleverlocatie,ST,0..1,data,NL-CM:9.9.20925,Dispense location,,EHDSMedicationDispense.dispenseLocation,EHDSMedicationDispense.dispenseLocation,Location of dispense,Location of dispense,EHDSLocation,0..1,
EHDSMedicationDispense.dispensedQuantity,MedicationDispense.DispensedAmount,DispensedAmount,MedicationDispense.DispensedAmount,NL: VerstrekteHoeveelheid,PQ,0..1,data,NL-CM:9.9.20923,Number of units of the product (measured based on the relevant product code) supplied. Optionally a translation to NHG table Gebruiksvoorschriften(Table 25) is also allowed.,,EHDSMedicationDispense.dispensedQuantity,EHDSMedicationDispense.dispensedQuantity,"Number of dispensed packages if the pack size is known, or number of smaller items/units","Number of dispensed packages if the pack size is known, or number of smaller items/units",Quantity,1..1,"{'strength': 'preferred', 'description': 'UCUM, EDQM Standard Terms'}"
EHDSMedicationDispense.dosageInstructions,,,,,,,,,,,EHDSMedicationDispense.dosageInstructions,EHDSMedicationDispense.dosageInstructions,Dosaging and administration instructions,Dosaging and administration instructions,EHDSDosaging,0..*,
EHDSMedicationDispense.header,,,,,,,,,,,EHDSMedicationDispense.header,EHDSMedicationDispense.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSMedicationDispense.header.authorship,,,,,,,,,,,EHDSMedicationDispense.header.authorship,EHDSMedicationDispense.header.authorship,Authorship,Resource authoring details,Base,1..*,
EHDSMedicationDispense.header.authorship.author[x],,,,,,,,,,,EHDSMedicationDispense.header.authorship.author[x],EHDSMedicationDispense.header.authorship.author[x],Author,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSMedicationDispense.header.authorship.datetime,,,,,,,,,,,EHDSMedicationDispense.header.authorship.datetime,EHDSMedicationDispense.header.authorship.datetime,Date and time of authoring/issuing,Date and time of the issuing the document/resource by its author.,dateTime,1..1,
EHDSMedicationDispense.header.identifier,,,,,,,,,,,EHDSMedicationDispense.header.identifier,EHDSMedicationDispense.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSMedicationDispense.header.language,,,,,,,,,,,EHDSMedicationDispense.header.language,EHDSMedicationDispense.header.language,Language,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSMedicationDispense.header.lastUpdate,,,,,,,,,,,EHDSMedicationDispense.header.lastUpdate,EHDSMedicationDispense.header.lastUpdate,Date and time of the last update to the resource,Date and time of the last update to the document/information,dateTime,0..1,
EHDSMedicationDispense.header.status,,,,,,,,,,,EHDSMedicationDispense.header.status,EHDSMedicationDispense.header.status,Status of the resource,Status of the resource,CodeableConcept,1..1,
EHDSMedicationDispense.header.statusReason[x],,,,,,,,,,,EHDSMedicationDispense.header.statusReason[x],EHDSMedicationDispense.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSMedicationDispense.header.subject,,,,,,,,,,,EHDSMedicationDispense.header.subject,EHDSMedicationDispense.header.subject,Subject,Patient/subject information,EHDSPatient,1..1,
EHDSMedicationDispense.header.version,,,,,,,,,,,EHDSMedicationDispense.header.version,EHDSMedicationDispense.header.version,Version,Business version of the resource.,string,0..1,
EHDSMedicationDispense.medication,MedicationDispense.DispensedMedicine::PharmaceuticalProduct,DispensedMedicine::PharmaceuticalProduct,MedicationDispense.DispensedMedicine::PharmaceuticalProduct,NL: VerstrektGeneesmiddel::FarmaceutischProduct,,1,"data,reference",NL-CM:9.9.22259,The dispensed medicine.,,EHDSMedicationDispense.medication,EHDSMedicationDispense.medication,Exact dispensed product,Exact dispensed product,EHDSMedication,1..1,
EHDSMedicationDispense.presentedForm,,,,,,,,,,,EHDSMedicationDispense.presentedForm,EHDSMedicationDispense.presentedForm,"A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document",EHDSAttachment,0..*,
EHDSMedicationDispense.receiver[x],,,,,,,,,,,EHDSMedicationDispense.receiver[x],EHDSMedicationDispense.receiver[x],"Identification of the person who received the dispensed medication, especially when it was not the patient","Identification of the person who received the dispensed medication, especially when it was not the patient",EHDSPatient,0..1,
EHDSMedicationDispense.relatedRequest,MedicationDispense.DispenseRequest,DispenseRequest,MedicationDispense.DispenseRequest,NL: Verstrekkingsverzoek,,0..1,"context,reference",NL-CM:9.9.22396,Relationship to the dispense request this medication dispense was based on.,,EHDSMedicationDispense.relatedRequest,EHDSMedicationDispense.relatedRequest,Identifier of the prescription or prescription item the dispense is related to,Identifier of the prescription or prescription item the dispense is related to,Identifier,0..*,
EHDSMedicationDispense.substitution,,,,,,,,,,,EHDSMedicationDispense.substitution,EHDSMedicationDispense.substitution,Indicated whether substitution was made by the dispenser,Indicated whether substitution was made by the dispenser,Base,0..1,
EHDSMedicationDispense.substitution.reason,,,,,,,,,,,EHDSMedicationDispense.substitution.reason,EHDSMedicationDispense.substitution.reason,Reason why the substitution was made or why the expected substitution was not made.,Reason why the substitution was made or why the expected substitution was not made.,CodeableConcept,0..*,
EHDSMedicationDispense.substitution.substitutionOccurred,,,,,,,,,,,EHDSMedicationDispense.substitution.substitutionOccurred,EHDSMedicationDispense.substitution.substitutionOccurred,Indicated whether substitution was made by the dispenser,Indicated whether substitution was made by the dispenser,boolean,1..1,
EHDSMedicationDispense.substitution.type,,,,,,,,,,,EHDSMedicationDispense.substitution.type,EHDSMedicationDispense.substitution.type,What kind of substitution was made by the dispenser,What kind of substitution was made by the dispenser,CodeableConcept,0..1,
EHDSMedicationDispense.timeOfDispensation,MedicationDispense.MedicationDispenseDateTime,MedicationDispenseDateTime,MedicationDispense.MedicationDispenseDateTime,NL: MedicatieverstrekkingsDatumTijd,TS,0..1,data,NL-CM:9.9.20272,"The time at which the medicine was supplied. The date and time at which the medicine is delivered.  
Note: this is the time at which the medicine was delivered to the patient (or their administrator/representative) and not the request date.",,EHDSMedicationDispense.timeOfDispensation,EHDSMedicationDispense.timeOfDispensation,Date and time of dispensation,Date and time of dispensation,dateTime,1..1,
,MedicationDispense.DistributionForm,DistributionForm,MedicationDispense.DistributionForm,NL: Distributievorm,CD,0..1,data,NL-CM:9.9.20927,Distribution form,,,,,,,,
,MedicationDispense.DurationOfUse,DurationOfUse,MedicationDispense.DurationOfUse,NL: Verbruiksduur,PQ,0..1,data,NL-CM:9.9.20924,The period in which the medication is expected to be used. The value depends on the dose and the dispensed amount.,,,,,,,,
