xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSMedicationPrescription,DispenseRequest,DispenseRequest,DispenseRequest,NL: Verstrekkingsverzoek,,,rootconcept,NL-CM:9.10.19963,Root concept of the DispenseRequest information model.This root concept contains all data elements of the DispenseRequest information model.,SNOMED CT: 52711000146108 Request to dispense medication to patient,EHDSMedicationPrescription,EHDSMedicationPrescription,Medication prescription model,Logical model for medication prescription. A prescription contains one or more prescription items.,,0..*,
EHDSMedicationPrescription.comment,,,,,,,,,,,EHDSMedicationPrescription.comment,EHDSMedicationPrescription.comment,Additional information or comments,Additional information or comments,string,0..*,
EHDSMedicationPrescription.header,,,,,,,,,,,EHDSMedicationPrescription.header,EHDSMedicationPrescription.header,Prescription header,Prescription header data elements,Base,1..1,
EHDSMedicationPrescription.header.authorship,,,,,,,,,,,EHDSMedicationPrescription.header.authorship,EHDSMedicationPrescription.header.authorship,Authorship,Resource authoring details,Base,1..*,
EHDSMedicationPrescription.header.authorship.author[x],,,,,,,,,,,EHDSMedicationPrescription.header.authorship.author[x],EHDSMedicationPrescription.header.authorship.author[x],"The prescriber, the person who made the prescription, and who takes the responsibility of the treatment. [Used for searching]",Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSMedicationPrescription.header.authorship.datetime,,,,,,,,,,,EHDSMedicationPrescription.header.authorship.datetime,EHDSMedicationPrescription.header.authorship.datetime,Time of issuing (signing) the prescription by health care professional. [Used for searching],Date and time of the issuing the document/resource by its author.,dateTime,1..1,
EHDSMedicationPrescription.header.identifier,,,,,,,,,,,EHDSMedicationPrescription.header.identifier,EHDSMedicationPrescription.header.identifier,Business identifier(s) for the prescription. [Used for searching],Business identifier for the object,Identifier,0..*,
EHDSMedicationPrescription.header.language,,,,,,,,,,,EHDSMedicationPrescription.header.language,EHDSMedicationPrescription.header.language,Language,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSMedicationPrescription.header.lastUpdate,,,,,,,,,,,EHDSMedicationPrescription.header.lastUpdate,EHDSMedicationPrescription.header.lastUpdate,Date and time of the last update to the resource,Date and time of the last update to the document/information,dateTime,0..1,
EHDSMedicationPrescription.header.recorder,,,,,,,,,,,EHDSMedicationPrescription.header.recorder,EHDSMedicationPrescription.header.recorder,The recorder of the prescription/draft in the information system,The recorder of the prescription/draft in the information system,EHDSHealthProfessional,0..1,
EHDSMedicationPrescription.header.recordingDate,,,,,,,,,,,EHDSMedicationPrescription.header.recordingDate,EHDSMedicationPrescription.header.recordingDate,Time of authoring the prescription/draft in the information system,Time of authoring the prescription/draft in the information system,dateTime,0..1,
EHDSMedicationPrescription.header.status,,,,,,,,,,,EHDSMedicationPrescription.header.status,EHDSMedicationPrescription.header.status,"Status of the prescription, this should not be status of treatment. For multi-item prescription, the status of prescription is often related to statuses of single lines. In case of single-item prescriptions, the status for line is usually the status of prescription. [Used for searching]",Status of the resource,CodeableConcept,1..1,
EHDSMedicationPrescription.header.statusReason[x],,,,,,,,,,,EHDSMedicationPrescription.header.statusReason[x],EHDSMedicationPrescription.header.statusReason[x],"Reason for the current status of prescription, for example the reason why the prescription was made invalid or why the prescription was changed from previous",Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSMedicationPrescription.header.subject,,,,,,,,,,,EHDSMedicationPrescription.header.subject,EHDSMedicationPrescription.header.subject,The person for whom the medication is prescribed/ordered. [Used for searching],Patient/subject information,EHDSPatient,1..1,
EHDSMedicationPrescription.header.validFrom,,,,,,,,,,,EHDSMedicationPrescription.header.validFrom,EHDSMedicationPrescription.header.validFrom,Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate. [Used for searching],Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate. [Used for searching],dateTime,0..1,
EHDSMedicationPrescription.header.validUntil,,,,,,,,,,,EHDSMedicationPrescription.header.validUntil,EHDSMedicationPrescription.header.validUntil,The validity period end date. The prescription is not dispensable after this date. [Used for searching],The validity period end date. The prescription is not dispensable after this date. [Used for searching],dateTime,0..1,
EHDSMedicationPrescription.header.version,,,,,,,,,,,EHDSMedicationPrescription.header.version,EHDSMedicationPrescription.header.version,Version,Business version of the resource.,string,0..1,
EHDSMedicationPrescription.prescriptionItem,,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem,EHDSMedicationPrescription.prescriptionItem,"Prescription line for one medication. In many countries, only one item is allowed. In case multiple medications are allowed, all lines need to be authored together.","Prescription line for one medication. In many countries, only one item is allowed. In case multiple medications are allowed, all lines need to be authored together.",Base,1..*,
EHDSMedicationPrescription.prescriptionItem.category,,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.category,EHDSMedicationPrescription.prescriptionItem.category,"Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).",CodeableConcept,0..*,
EHDSMedicationPrescription.prescriptionItem.comment,Comment,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.comment,EHDSMedicationPrescription.prescriptionItem.comment,Additional information or comments,Additional information or comments,string,0..*,
EHDSMedicationPrescription.prescriptionItem.dosageInstructions,,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.dosageInstructions,EHDSMedicationPrescription.prescriptionItem.dosageInstructions,Dosaging and administration instructions,Dosaging and administration instructions,EHDSDosaging,0..*,
EHDSMedicationPrescription.prescriptionItem.identifier,,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.identifier,EHDSMedicationPrescription.prescriptionItem.identifier,"Identifier for a single item on prescription, if exists. In case of single-item prescription, this identifier is typically the same as prescription identifier.","Identifier for a single item on prescription, if exists. In case of single-item prescription, this identifier is typically the same as prescription identifier.",Identifier,0..1,
EHDSMedicationPrescription.prescriptionItem.indicationText,,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.indicationText,EHDSMedicationPrescription.prescriptionItem.indicationText,Reason for the prescription in textual form. This might not be allowed by some implementations.,Reason for the prescription in textual form. This might not be allowed by some implementations.,string,0..1,
EHDSMedicationPrescription.prescriptionItem.indication[x],,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.indication[x],EHDSMedicationPrescription.prescriptionItem.indication[x],"Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)",CodeableConcept,0..*,
EHDSMedicationPrescription.prescriptionItem.medication,MedicineToBeDispensed::PharmaceuticalProduct	,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.medication,EHDSMedicationPrescription.prescriptionItem.medication,"Prescribed product, branded, generic, virtual, extemporal, etc","Prescribed product, branded, generic, virtual, extemporal, etc",EHDSMedication,1..1,
EHDSMedicationPrescription.prescriptionItem.minimumDispenseInterval,,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.minimumDispenseInterval,EHDSMedicationPrescription.prescriptionItem.minimumDispenseInterval,Minimum Dispense Interval,"If a prescription allows for repeated dispensations, the interval between dispensations shall be stated here.",Quantity,0..1,
EHDSMedicationPrescription.prescriptionItem.offLabel,,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.offLabel,EHDSMedicationPrescription.prescriptionItem.offLabel,"Indicates that the prescriber has knowingly prescribed the medication for an indication, age group, dosage, or route of administration that is not approved by the regulatory agencies and is not mentioned in the prescribing information for the drug","Indicates that the prescriber has knowingly prescribed the medication for an indication, age group, dosage, or route of administration that is not approved by the regulatory agencies and is not mentioned in the prescribing information for the drug",Base,0..1,
EHDSMedicationPrescription.prescriptionItem.offLabel.isOffLabelUse,,,,,,,,,,,EHDSMedicationPrescription.prescriptionItem.offLabel.isOffLabelUse,EHDSMedicationPrescription.prescriptionItem.offLabel.isOffLabelUse,Indicates off-label use. Must be 'true' when .reason is provided.,Indicates off-label use. Must be 'true' when .reason is provided.,boolean,1..1,
