xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSMedicationStatement,MedicationUse,MedicationUse,MedicationUse,NL: Medicatiegebruik,,,rootconcept,NL-CM:9.11.21338,Root concept of the MedicationUse information model. This root concept contains all data elements of the MedicationUse information model.,SNOMED CT: 422979000 Medication regimen behavior finding,EHDSMedicationStatement,EHDSMedicationStatement,Medication statement model,Statement about a single medication as part of a medication summary.,,0..*,
EHDSMedicationStatement.header,,,,,,,,,,,EHDSMedicationStatement.header,EHDSMedicationStatement.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSMedicationStatement.header.subject,,,,,,,,,,,EHDSMedicationStatement.header.subject,EHDSMedicationStatement.header.subject,Patient/subject information,Patient/subject information,EHDSPatient,1..1,
EHDSMedicationStatement.header.identifier,,,,,,,,,,,EHDSMedicationStatement.header.identifier,EHDSMedicationStatement.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSMedicationStatement.header.authorship,,,,,,,,,,,EHDSMedicationStatement.header.authorship,EHDSMedicationStatement.header.authorship,Resource authoring details,Resource authoring details,Base,1..*,
EHDSMedicationStatement.header.authorship.author[x],,,,,,,,,,,EHDSMedicationStatement.header.authorship.author[x],EHDSMedicationStatement.header.authorship.author[x],Author(s) by whom the resource was/were authored. Multiple authors could be provided.,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSMedicationStatement.header.authorship.datetime,,,,,,,,,,,EHDSMedicationStatement.header.authorship.datetime,EHDSMedicationStatement.header.authorship.datetime,Date and time of authoring/issuing,Date and time of authoring/issuing,dateTime,1..1,
EHDSMedicationStatement.header.lastUpdate,,,,,,,,,,,EHDSMedicationStatement.header.lastUpdate,EHDSMedicationStatement.header.lastUpdate,Date and time of the last update to the resource (may be used for technical corrections).,Date and time of the last update to the resource (may be used for technical corrections).,dateTime,0..1,
EHDSMedicationStatement.header.status,,,,,,,,,,,EHDSMedicationStatement.header.status,EHDSMedicationStatement.header.status,Status of the resource or document,Status of the resource or document,CodeableConcept,1..1,
EHDSMedicationStatement.header.statusReason[x],,,,,,,,,,,EHDSMedicationStatement.header.statusReason[x],EHDSMedicationStatement.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSMedicationStatement.header.language,,,,,,,,,,,EHDSMedicationStatement.header.language,EHDSMedicationStatement.header.language,Language in which the resource is written. Language is expressed by the IETF language tag.,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSMedicationStatement.medicationTreatmentStatus,MedicationUse.UseIndicator,UseIndicator,MedicationUse.UseIndicator,NL: GebruikIndicator,BL,1,data,NL-CM:9.11.22399,Is this medicine used or not?,,EHDSMedicationStatement.medicationTreatmentStatus,EHDSMedicationStatement.medicationTreatmentStatus,The current status of the taking of medicine,The current status of the taking of medicine,CodeableConcept,0..1,
