xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSMedication,PharmaceuticalProduct,PharmaceuticalProduct,PharmaceuticalProduct,NL: FarmaceutischProduct,,,rootconcept,NL-CM:9.7.19926,Root concept of the PharmaceuticalProduct partial information model. This root concept contains all data elements of the PharmaceuticalProduct partial information model.,,EHDSMedication,EHDSMedication,Medication model,"Logical model for prescribed/dispensed medication. The model is shared by statements, requests, dispensations, and treatment lines. Each of those may have different restrictions in FHIR profile. Model is suitable for generic/virtual medications as well as branded/real products.",,0..*,
EHDSMedication.batch,,,,,,,,,,,EHDSMedication.batch,EHDSMedication.batch,"Batch information of a medicinal product. Typically recorded during dispense or administration, rarely known or relevant for a prescription/request.","Batch information of a medicinal product. Typically recorded during dispense or administration, rarely known or relevant for a prescription/request.",Base,0..1,
EHDSMedication.batch.expirationDate,,,,,,,,,,,EHDSMedication.batch.expirationDate,EHDSMedication.batch.expirationDate,Batch expiration date of the medicinal product.,Batch expiration date of the medicinal product.,dateTime,0..1,
EHDSMedication.batch.lotNumber,PharmaceuticalProduct.ProductSpecifications.Batch/lotNumber,Batch/lotNumber,PharmaceuticalProduct.ProductSpecifications.Batch/lotNumber,NL: Batch/lotNummer,ST,0..1,data,NL-CM:9.7.22279,The batch/lot number provides a unique identification of the origin of information such as the production batch or machine number. The number is constructed according to the GS1 standard AI(10).( https://www.gs1.nl/sectorafspraken-over-standaarden/unieke-identificatie-en-productdata-gezondheidszorg/gs1-barcodes-2#application-identifiers-ais ),,EHDSMedication.batch.lotNumber,EHDSMedication.batch.lotNumber,Batch identifier of the medicinal product,Batch identifier of the medicinal product,string,0..1,
EHDSMedication.characteristic,,,,,,,,,,,EHDSMedication.characteristic,EHDSMedication.characteristic,Other features of the product,Other features of the product,Base,0..*,
EHDSMedication.characteristic.type,,,,,,,,,,,EHDSMedication.characteristic.type,EHDSMedication.characteristic.type,A code expressing the type of characteristic,A code expressing the type of characteristic,CodeableConcept,1..1,
EHDSMedication.characteristic.value[x],,,,,,,,,,,EHDSMedication.characteristic.value[x],EHDSMedication.characteristic.value[x],Description of the characteristic,Description of the characteristic,boolean,0..1,
EHDSMedication.classification,,,,,,,,,,,EHDSMedication.classification,EHDSMedication.classification,Classification (e.g. ATC; narcotic/psychotropic; orphan drug; etc.),Classification (e.g. ATC; narcotic/psychotropic; orphan drug; etc.),CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'WHO ATC'}"
EHDSMedication.device,,,,,,,,,,,EHDSMedication.device,EHDSMedication.device,Administration device included in the product,Administration device included in the product,Base,0..*,
EHDSMedication.device.deviceQuantity,,,,,,,,,,,EHDSMedication.device.deviceQuantity,EHDSMedication.device.deviceQuantity,Number of such devices,Number of such devices,Quantity,1..1,
EHDSMedication.device.device[x],,,,,,,,,,,EHDSMedication.device.device[x],EHDSMedication.device.device[x],Device coded,Device coded,CodeableConcept,1..1,
EHDSMedication.doseForm,,,,,,,,,,,EHDSMedication.doseForm,EHDSMedication.doseForm,Dose form(s) on a product level. Dose form for a single package item is defined below.,Dose form(s) on a product level. Dose form for a single package item is defined below.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'EDQM Standard Terms'}"
EHDSMedication.identifyingCode[x],PharmaceuticalProduct.MedicationCode,MedicationCode,PharmaceuticalProduct.MedicationCode,NL: ProductCode,CD,0..1,data,NL-CM:9.7.19927,"Coding medication in the Netherlands is done on the basis of the G standard (issued by Z index), which is filled under the direction of KNMP. 
The coded medication can be expressed as:
-  Global Trade Item Number (GTIN) 
-  Z index number (ZI number) 
-  Trade product code (HPK) 
-  Prescription code (PRK) 
-  Generic product code (GPK) 
-  Anatomic Therapeutic Classification code (ATC) 
-  SNOMED CT code
The GTIN enables identification of the product including its origin with a barcode.
The ZI number represents the trade product and the package size. 
The HPK is the code for the trade product (with the brand name) as used per dose/per time the medication is taken (1 pill, 1 puff, 1ml).
The PRK contains als GPK information supplemented with information needed to prescribe the right product. This level is intended to facilitate generic prescription of drugs. 
The GPK defines the pharmaceutical characteristics of a product: ingredients, strengths, units, pharmaceutical form and route of administration. 
The Substance Name Code (SNK) is the (active) compound. 
Further information about the G Standaard levels see https://www.z-index.nl .
So-called 90.000.000 numbers are used in local IT systems. These numbers shall not be used for external communication. In this case only the description (not the code) may be included. This is in accordance with national agreements (Nictiz Standard).


SNOMED CT can be used as an alternative coding of a pharmaceutical product, it is used, for example, to more generically describe vaccinations from the National Vaccination Programme based on the combination of substances (e.g. DKTP vaccine). For vaccines registered in the past, a code from the G-standard is not always present, but it is recommended to record it for current processing. In addition, the SNOMED CT code can be registered as an alternative for the same product.",,EHDSMedication.identifyingCode[x],EHDSMedication.identifyingCode[x],"Identifier or code for the product (virtual product, branded product or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities.","Identifier or code for the product (virtual product, branded product or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities.",CodeableConcept,0..*,
EHDSMedication.item,,,,,,,,,,,EHDSMedication.item,EHDSMedication.item,"A medication item. For combination packs, this can be manufactured items with each item having its own dose form and ingredients+strengths defined","A medication item. For combination packs, this can be manufactured items with each item having its own dose form and ingredients+strengths defined",Base,0..*,
EHDSMedication.item.amount,,,,,,,,,,,EHDSMedication.item.amount,EHDSMedication.item.amount,Number of such manufactured items in this product (5 vials),Number of such manufactured items in this product (5 vials),Quantity,0..1,"{'strength': 'preferred', 'description': 'UCUM for units of measure. EDQM Standard Terms for units of presentation.'}"
