xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSCurrentPregnancy,Pregnancy,Pregnancy,Pregnancy,NL: Zwangerschap,,,rootconcept,NL-CM:7.14.1,Root concept of the Pregnancy information model. This root concept contains all data elements of the Pregnancy information model.,SNOMED CT: 118185001 Finding related to pregnancy,EHDSCurrentPregnancy,EHDSCurrentPregnancy,Current pregnancy status model,Current pregnancy status,,0..*,
EHDSCurrentPregnancy.currentPregnancyStatus,,,,,,,,,,,EHDSCurrentPregnancy.currentPregnancyStatus,EHDSCurrentPregnancy.currentPregnancyStatus,Current pregnancy status,"Current state of the pregnancy at the date the observation was made, e.g. pregnant, not pregnant, unknown.",CodeableConcept,1..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSCurrentPregnancy.dateOfStatus,,,,,,,,,,,EHDSCurrentPregnancy.dateOfStatus,EHDSCurrentPregnancy.dateOfStatus,Effective date of the current pregnancy status.,Effective date of the current pregnancy status.,dateTime,0..1,
EHDSCurrentPregnancy.expectedDateOfDelivery,Pregnancy.EstimatedDateOfDeliveryItems.EstimatedDateOfDelivery,EstimatedDateOfDelivery,Pregnancy.EstimatedDateOfDeliveryItems.EstimatedDateOfDelivery,NL: ATermeDatum,TS,0..1,data,NL-CM:7.14.3,The date on which the pregnancy is expected to be 40w 0d (280 days). Different due dates are used at various points in the pregnancy.,SNOMED CT: 161714006 Estimated date of delivery,EHDSCurrentPregnancy.expectedDateOfDelivery,EHDSCurrentPregnancy.expectedDateOfDelivery,"Date in which the woman is due to give birth. Year, day and month are required.","Date in which the woman is due to give birth. Year, day and month are required.",date,0..1,
EHDSCurrentPregnancy.gestationalAge,Pregnancy.PregnancyDuration,PregnancyDuration,Pregnancy.PregnancyDuration,NL: Zwangerschapsduur,PQ,0..1,data,NL-CM:7.14.4,Duration of the pregnancy on the day on which the patient was asked. The duration can be given in days (d) or weeks (wk).,SNOMED CT: 57036006 Fetal gestational age,EHDSCurrentPregnancy.gestationalAge,EHDSCurrentPregnancy.gestationalAge,Duration of the pregnancy at this day,Gestational age - duration of the pregnancy on the day on which the patient was asked or at the delivery. The duration can be given in weeks and/or days.,Quantity,0..1,
EHDSCurrentPregnancy.header,,,,,,,,,,,EHDSCurrentPregnancy.header,EHDSCurrentPregnancy.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSCurrentPregnancy.header.authorship,,,,,,,,,,,EHDSCurrentPregnancy.header.authorship,EHDSCurrentPregnancy.header.authorship,Authorship,Resource authoring details,Base,1..*,
EHDSCurrentPregnancy.header.authorship.author[x],,,,,,,,,,,EHDSCurrentPregnancy.header.authorship.author[x],EHDSCurrentPregnancy.header.authorship.author[x],Author,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSCurrentPregnancy.header.authorship.datetime,,,,,,,,,,,EHDSCurrentPregnancy.header.authorship.datetime,EHDSCurrentPregnancy.header.authorship.datetime,Date and time of authoring/issuing,Date and time of the issuing the document/resource by its author.,dateTime,1..1,
EHDSCurrentPregnancy.header.identifier,,,,,,,,,,,EHDSCurrentPregnancy.header.identifier,EHDSCurrentPregnancy.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSCurrentPregnancy.header.language,,,,,,,,,,,EHDSCurrentPregnancy.header.language,EHDSCurrentPregnancy.header.language,Language,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSCurrentPregnancy.header.lastUpdate,,,,,,,,,,,EHDSCurrentPregnancy.header.lastUpdate,EHDSCurrentPregnancy.header.lastUpdate,Date and time of the last update to the resource,Date and time of the last update to the document/information,dateTime,0..1,
EHDSCurrentPregnancy.header.status,,,,,,,,,,,EHDSCurrentPregnancy.header.status,EHDSCurrentPregnancy.header.status,Status of the resource,Status of the resource,CodeableConcept,1..1,
EHDSCurrentPregnancy.header.statusReason[x],,,,,,,,,,,EHDSCurrentPregnancy.header.statusReason[x],EHDSCurrentPregnancy.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSCurrentPregnancy.header.subject,,,,,,,,,,,EHDSCurrentPregnancy.header.subject,EHDSCurrentPregnancy.header.subject,Subject,Patient/subject information,EHDSPatient,1..1,
EHDSCurrentPregnancy.header.version,,,,,,,,,,,EHDSCurrentPregnancy.header.version,EHDSCurrentPregnancy.header.version,Version,Business version of the resource.,string,0..1,
EHDSCurrentPregnancy.narrative,Pregnancy.Comment,Comment,Pregnancy.Comment,NL: Toelichting,ST,0..1,data,NL-CM:7.14.7,Comment on the pregnancy.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,EHDSCurrentPregnancy.narrative,EHDSCurrentPregnancy.narrative,Textual description of current pregnancy status,Narrative description describing the status of the current pregnancy.,string,0..1,
EHDSCurrentPregnancy.presentedForm,,,,,,,,,,,EHDSCurrentPregnancy.presentedForm,EHDSCurrentPregnancy.presentedForm,"A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document",EHDSAttachment,0..*,
,Pregnancy.EstimatedDateOfDeliveryItems,EstimatedDateOfDeliveryItems,Pregnancy.EstimatedDateOfDeliveryItems,NL: ATermeDatumItems,,0..1,container,NL-CM:7.14.9,Container of the EstimatedDateOfDeliveryItems concept.This container contains all data elements of the EstimatedDateOfDeliveryItems concept.,,,,,,,,
,Pregnancy.EstimatedDateOfDeliveryItems.DateLastMenstruation,DateLastMenstruation,Pregnancy.EstimatedDateOfDeliveryItems.DateLastMenstruation,NL: DatumLaatsteMenstruatie,TS,0..1,data,NL-CM:7.14.8,The date on which the last menstruation started.,SNOMED CT: 21840007 Date of last menstrual period,,,,,,,
,Pregnancy.EstimatedDateOfDeliveryItems.DateOfEstimation,DateOfEstimation,Pregnancy.EstimatedDateOfDeliveryItems.DateOfEstimation,NL: DatumBepaling,TS,0..1,data,NL-CM:7.14.11,Date on which the delivery date is estimated.,,,,,,,,
