xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSPregnancyHistory,Pregnancy,Pregnancy,Pregnancy,NL: Zwangerschap,,,rootconcept,NL-CM:7.14.1,Root concept of the Pregnancy information model. This root concept contains all data elements of the Pregnancy information model.,SNOMED CT: 118185001 Finding related to pregnancy,EHDSPregnancyHistory,EHDSPregnancyHistory,Pregnancy history model,Pregnancy history for one pregnancy,,0..*,
EHDSPregnancyHistory.presentedForm,,,,,,,,,,,EHDSPregnancyHistory.presentedForm,EHDSPregnancyHistory.presentedForm,"A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document",EHDSAttachment,0..*,
EHDSPregnancyHistory.narrative,,,,,,,,,,,EHDSPregnancyHistory.narrative,EHDSPregnancyHistory.narrative,"Narrative, potentially formatted, content of the section",Narrative description describing the outcome of any previous pregnancies.,string,0..1,
EHDSPregnancyHistory.outcomeDate,,,,,,,,,,,EHDSPregnancyHistory.outcomeDate,EHDSPregnancyHistory.outcomeDate,Outcome date,Date referred to the previous pregnancies outcome.,dateTime,0..1,
EHDSPregnancyHistory.outcome,,,,,,,,,,,EHDSPregnancyHistory.outcome,EHDSPregnancyHistory.outcome,Outcome,Outcome of the previous pregnancy.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': '1.3.6.1.4.1.12559.11.10.1.3.1.42.62 eHDSIOutcomeOfPregnancy (SNOMED CT, used in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.63 eHDSIRareDisease (OrphaCodes, used in MH@EU); ICD-11; SNOMED CT'}"
EHDSPregnancyHistory.numberOfChildren,,,,,,,,,,,EHDSPregnancyHistory.numberOfChildren,EHDSPregnancyHistory.numberOfChildren,Number of children/fetuses in this specific pregnancy,Number of children/fetuses in this specific pregnancy,integer,0..1,
,Pregnancy.PregnancyDuration,PregnancyDuration,Pregnancy.PregnancyDuration,NL: Zwangerschapsduur,PQ,0..1,data,NL-CM:7.14.4,Duration of the pregnancy on the day on which the patient was asked. The duration can be given in days (d) or weeks (wk).,SNOMED CT: 57036006 Fetal gestational age,,,,,,,
,Pregnancy.Parity,Parity,Pregnancy.Parity,NL: Pariteit,INT,0..1,data,NL-CM:7.14.6,Number of previous pregnancies ending in partum (>= 16w 0d / 112 days).,SNOMED CT: 364325004 Parity,,,,,,,
,Pregnancy.Gravidity,Gravidity,Pregnancy.Gravidity,NL: Graviditeit,INT,0..1,data,NL-CM:7.14.5,The number of times the woman has gotten pregnant (including this one).,SNOMED CT: 161732006 Gravida,,,,,,,
,Pregnancy.Comment,Comment,Pregnancy.Comment,NL: Toelichting,ST,0..1,data,NL-CM:7.14.7,Comment on the pregnancy.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
,Pregnancy.EstimatedDateOfDeliveryItems,EstimatedDateOfDeliveryItems,Pregnancy.EstimatedDateOfDeliveryItems,NL: ATermeDatumItems,,0..1,container,NL-CM:7.14.9,Container of the EstimatedDateOfDeliveryItems concept.This container contains all data elements of the EstimatedDateOfDeliveryItems concept.,,,,,,,,
,Pregnancy.EstimatedDateOfDeliveryItems.EstimatedDateOfDelivery,EstimatedDateOfDelivery,Pregnancy.EstimatedDateOfDeliveryItems.EstimatedDateOfDelivery,NL: ATermeDatum,TS,0..1,data,NL-CM:7.14.3,The date on which the pregnancy is expected to be 40w 0d (280 days). Different due dates are used at various points in the pregnancy.,SNOMED CT: 161714006 Estimated date of delivery,,,,,,,
,Pregnancy.EstimatedDateOfDeliveryItems.EstimatingMethod,EstimatingMethod,Pregnancy.EstimatedDateOfDeliveryItems.EstimatingMethod,NL: BepalingsMethode,CD,0..1,data,NL-CM:7.14.10,Method by which the delivery date is estimated.,,,,,,,,
,Pregnancy.EstimatedDateOfDeliveryItems.DateOfEstimation,DateOfEstimation,Pregnancy.EstimatedDateOfDeliveryItems.DateOfEstimation,NL: DatumBepaling,TS,0..1,data,NL-CM:7.14.11,Date on which the delivery date is estimated.,,,,,,,,
,Pregnancy.EstimatedDateOfDeliveryItems.DateLastMenstruation,DateLastMenstruation,Pregnancy.EstimatedDateOfDeliveryItems.DateLastMenstruation,NL: DatumLaatsteMenstruatie,TS,0..1,data,NL-CM:7.14.8,The date on which the last menstruation started.,SNOMED CT: 21840007 Date of last menstrual period,,,,,,,
