xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSProcedure,NursingIntervention,NursingIntervention,NursingIntervention,NL: VerpleegkundigeInterventie,,,rootconcept,NL-CM:14.2.1,Root concept of the NursingIntervention information model. This root concept contains all data elements of the NursingIntervention information model.,SNOMED CT: 9632001 Nursing procedure,EHDSProcedure,EHDSProcedure,Procedure model,EHDS refined base model for an action that is or was performed on or for a patient,,0..*,
EHDSProcedure.bodySite,,,,,,,,,,,EHDSProcedure.bodySite,EHDSProcedure.bodySite,Procedure target body site. Details of where the procedure was performed. Laterality may be included as qualifier of the body site.,Procedure target body site. Details of where the procedure was performed. Laterality may be included as qualifier of the body site.,EHDSBodyStructure,0..*,
EHDSProcedure.code,NursingIntervention.Intervention,Intervention,NursingIntervention.Intervention,NL: Interventie,CD,1,data,NL-CM:14.2.2,A nursing intervention is a treatment carried out by a nurse based on an expert opinion and clinical knowledge for the benefit of the person requesting healthcare. The intervention is targeted towards a certain problem (diagnosis) and has a predetermined healthcare result. It is possible to build a hierarchy of nursing interventions (where one intervention is part of another).,,EHDSProcedure.code,EHDSProcedure.code,Code identifying the procedure,Code identifying the procedure,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSProcedure.complication,,,,,,,,,,,EHDSProcedure.complication,EHDSProcedure.complication,"Any complications that occurred during the procedure, or in the immediate post-performance period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.","Any complications that occurred during the procedure, or in the immediate post-performance period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.",CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'ICD-10, SNOMED CT, Orphacode if rare disease is diagnosed'}"
EHDSProcedure.date[x],NursingIntervention.ProcedureEndDateTime,ProcedureEndDateTime,NursingIntervention.ProcedureEndDateTime,NL: ActieEindDatumTijd,TS,0..1,data,NL-CM:14.2.12,The end date (and if possible end time) of the procedure. The concept offers the option to indicate the end of the period of a series of repeating procedures.,,EHDSProcedure.date[x],EHDSProcedure.date[x],Date and time of the procedure or interval of its performance,Date and time of the procedure or interval of its performance,dateTime,0..1,
EHDSProcedure.date[x],NursingIntervention.ProcedureStartDateTime,ProcedureStartDateTime,NursingIntervention.ProcedureStartDateTime,NL: ActieStartDatumTijd,TS,0..1,data,NL-CM:14.2.11,The start date (and if possible start time) of the procedure. The concept offers the option to indicate the start of the period of a series of repeating procedures.,,EHDSProcedure.date[x],EHDSProcedure.date[x],Date and time of the procedure or interval of its performance,Date and time of the procedure or interval of its performance,dateTime,0..1,
EHDSProcedure.deviceUsed,NursingIntervention.MedicalDevice,MedicalDevice,NursingIntervention.MedicalDevice,NL: MedischHulpmiddel,,0..*,"data,reference",NL-CM:14.2.13,"Description of the materials used for the nursing procedure, such as bandages.",,EHDSProcedure.deviceUsed,EHDSProcedure.deviceUsed,Device used to perform the procedure,Device used to perform the procedure,EHDSDevice,0..*,
EHDSProcedure.focalDevice,,,,,,,,,,,EHDSProcedure.focalDevice,EHDSProcedure.focalDevice,"Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.",EHDSDevice,0..*,
EHDSProcedure.header,,,,,,,,,,,EHDSProcedure.header,EHDSProcedure.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSProcedure.header.authorship,,,,,,,,,,,EHDSProcedure.header.authorship,EHDSProcedure.header.authorship,Authorship,Resource authoring details,Base,1..*,
EHDSProcedure.header.authorship.author[x],,,,,,,,,,,EHDSProcedure.header.authorship.author[x],EHDSProcedure.header.authorship.author[x],Author,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSProcedure.header.authorship.datetime,,,,,,,,,,,EHDSProcedure.header.authorship.datetime,EHDSProcedure.header.authorship.datetime,Date and time of authoring/issuing,Date and time of the issuing the document/resource by its author.,dateTime,1..1,
EHDSProcedure.header.identifier,,,,,,,,,,,EHDSProcedure.header.identifier,EHDSProcedure.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSProcedure.header.language,,,,,,,,,,,EHDSProcedure.header.language,EHDSProcedure.header.language,Language,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSProcedure.header.lastUpdate,,,,,,,,,,,EHDSProcedure.header.lastUpdate,EHDSProcedure.header.lastUpdate,Date and time of the last update to the resource,Date and time of the last update to the document/information,dateTime,0..1,
EHDSProcedure.header.status,,,,,,,,,,,EHDSProcedure.header.status,EHDSProcedure.header.status,Status of the resource,Status of the resource,CodeableConcept,1..1,
