xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSProcedure,Procedure,Procedure,Procedure,NL: Verrichting,,,rootconcept,NL-CM:14.1.1,Root concept of the Procedure information model. This root concept contains all data elements of the Procedure information model.,SNOMED CT: 71388002 Procedure,EHDSProcedure,EHDSProcedure,Procedure model,EHDS refined base model for an action that is or was performed on or for a patient,,0..*,
EHDSProcedure.bodySite,Procedure.ProcedureAnatomicalLocation::AnatomicalLocation,ProcedureAnatomicalLocation::AnatomicalLocation,Procedure.ProcedureAnatomicalLocation::AnatomicalLocation,NL: VerrichtingAnatomischeLocatie::AnatomischeLocatie,,0..1,"data,reference",NL-CM:14.1.13,Anatomical location that is the focus of the procedure.,SNOMED CT: 405813007 Procedure site - Direct,EHDSProcedure.bodySite,EHDSProcedure.bodySite,Procedure target body site. Details of where the procedure was performed. Laterality may be included as qualifier of the body site.,Procedure target body site. Details of where the procedure was performed. Laterality may be included as qualifier of the body site.,EHDSBodyStructure,0..*,
EHDSProcedure.code,Procedure.ProcedureType,ProcedureType,Procedure.ProcedureType,NL: VerrichtingType,CD,1,data,NL-CM:14.1.4,"The name of the procedure.<br />Choices are the DHD procedure thesaurus,  the procedures file (CBV), the Care activities file (NZa), the Dutch Mental Health and Addiction Care procedures list (GGZ) and the procedures list of the Dutch College of General Practitioners (NHG).",,EHDSProcedure.code,EHDSProcedure.code,Code identifying the procedure,Code identifying the procedure,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSProcedure.complication,,,,,,,,,,,EHDSProcedure.complication,EHDSProcedure.complication,"Any complications that occurred during the procedure, or in the immediate post-performance period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.","Any complications that occurred during the procedure, or in the immediate post-performance period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.",CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'ICD-10, SNOMED CT, Orphacode if rare disease is diagnosed'}"
EHDSProcedure.date[x],Procedure.ProcedureEndDate,ProcedureEndDate,Procedure.ProcedureEndDate,NL: VerrichtingEindDatum,TS,0..1,data,NL-CM:14.1.3,"The end date (and if possible end time) of the procedure. A ‘vague’ date, such as only the year, is permitted. 
The element offers the option to indicate the end of the period of a series of related procedures. The end date element is only used for a procedures that takes some time and is then always applied. If the procedure still continues, the value is left empty. For instantaneous or very short lasting procedures the element is omitted.",,EHDSProcedure.date[x],EHDSProcedure.date[x],Date and time of the procedure or interval of its performance,Date and time of the procedure or interval of its performance,dateTime,0..1,
EHDSProcedure.date[x],Procedure.ProcedureStartDate,ProcedureStartDate,Procedure.ProcedureStartDate,NL: VerrichtingStartDatum,TS,0..1,data,NL-CM:14.1.2,"The (desired) start date (and if possible start time) of the procedure. A ‘vague’ date, such as only the year, is permitted. 
The element offers the option to indicate the start of the period of a series of related procedures.",,EHDSProcedure.date[x],EHDSProcedure.date[x],Date and time of the procedure or interval of its performance,Date and time of the procedure or interval of its performance,dateTime,0..1,
EHDSProcedure.deviceUsed,,,,,,,,,,,EHDSProcedure.deviceUsed,EHDSProcedure.deviceUsed,Device used to perform the procedure,Device used to perform the procedure,EHDSDevice,0..*,
EHDSProcedure.focalDevice,Procedure.MedicalDevice,MedicalDevice,Procedure.MedicalDevice,NL: MedischHulpmiddel,,0..*,"data,reference",NL-CM:14.1.7,"The product, the placing of which in or on the body is the purpose of the procedure, for example placing an implant.",SNOMED CT: 405815000 Procedure device,EHDSProcedure.focalDevice,EHDSProcedure.focalDevice,"Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.",EHDSDevice,0..*,
EHDSProcedure.header,"Registratiegegevens, zie DataSet mapping",,,,,,,,,,EHDSProcedure.header,EHDSProcedure.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSProcedure.header.authorship,,,,,,,,,,,EHDSProcedure.header.authorship,EHDSProcedure.header.authorship,Authorship,Resource authoring details,Base,1..*,
EHDSProcedure.header.authorship.author[x],,,,,,,,,,,EHDSProcedure.header.authorship.author[x],EHDSProcedure.header.authorship.author[x],Author,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSProcedure.header.authorship.datetime,,,,,,,,,,,EHDSProcedure.header.authorship.datetime,EHDSProcedure.header.authorship.datetime,Date and time of authoring/issuing,Date and time of the issuing the document/resource by its author.,dateTime,1..1,
EHDSProcedure.header.identifier,,,,,,,,,,,EHDSProcedure.header.identifier,EHDSProcedure.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSProcedure.header.language,,,,,,,,,,,EHDSProcedure.header.language,EHDSProcedure.header.language,Language,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSProcedure.header.lastUpdate,,,,,,,,,,,EHDSProcedure.header.lastUpdate,EHDSProcedure.header.lastUpdate,Date and time of the last update to the resource,Date and time of the last update to the document/information,dateTime,0..1,
EHDSProcedure.header.status,,,,,,,,,,,EHDSProcedure.header.status,EHDSProcedure.header.status,Status of the resource,Status of the resource,CodeableConcept,1..1,
EHDSProcedure.header.statusReason[x],,,,,,,,,,,EHDSProcedure.header.statusReason[x],EHDSProcedure.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSProcedure.header.subject,,,,,,,,,,,EHDSProcedure.header.subject,EHDSProcedure.header.subject,Subject,Patient/subject information,EHDSPatient,1..1,
EHDSProcedure.header.version,,,,,,,,,,,EHDSProcedure.header.version,EHDSProcedure.header.version,Version,Business version of the resource.,string,0..1,
EHDSProcedure.location,Procedure.Location::HealthcareProvider,Location::HealthcareProvider,Procedure.Location::HealthcareProvider,NL: Locatie::Zorgaanbieder,,0..1,"context,reference",NL-CM:14.1.5,"The healthcare provider where the procedure was, is or will be carried out.",,,,,,,,
EHDSProcedure.note,,,,,,,,,,,EHDSProcedure.note,EHDSProcedure.note,Additional information about the procedure,Additional information about the procedure,string,0..1,
EHDSProcedure.outcome,,,,,,,,,,,EHDSProcedure.outcome,EHDSProcedure.outcome,The outcome of the procedure - did it resolve the reasons for the procedure being performed?,The outcome of the procedure - did it resolve the reasons for the procedure being performed?,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSProcedure.performer,Procedure.Performer::HealthProfessional,Performer::HealthProfessional,Procedure.Performer::HealthProfessional,NL: Uitvoerder::Zorgverlener,,0..*,"context,reference",NL-CM:14.1.6,"The healthcare professional who carried out or will carry out the procedure. In most cases, only the medical specialty is entered, and not the name of the healthcare professional.",,EHDSProcedure.performer,EHDSProcedure.performer,An actor who performed the procedure,An actor who performed the procedure,EHDSHealthProfessional,0..*,
EHDSProcedure.presentedForm,,,,,,,,,,,EHDSProcedure.presentedForm,EHDSProcedure.presentedForm,"A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document",EHDSAttachment,0..*,
EHDSProcedure.reason[x],Procedure.Indication,Indication,Procedure.Indication,NL: Indicatie,,0..*,container,NL-CM:14.1.14,Container of the Indication concept.This container contains all data elements of the Indication concept.,,EHDSProcedure.reason[x],EHDSProcedure.reason[x],The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, ICD-10, Orphacode if rare disease is diagnosed'}"
EHDSProcedure.reason[x],Procedure.Indication.Diagnosis,Diagnosis,Procedure.Indication.Diagnosis,NL: Diagnose,,(0..1),"data,reference",NL-CM:14.1.15,A diagnosis that serves as an indication for the procedure.,,EHDSProcedure.reason[x],EHDSProcedure.reason[x],The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, ICD-10, Orphacode if rare disease is diagnosed'}"
EHDSProcedure.reason[x],Procedure.Indication.Reaction,Reaction,Procedure.Indication.Reaction,NL: Reactie,,(0..1),"data,reference",NL-CM:14.1.16,An undesired reaction to a substance or radiation that served as an indication for the procedure.,,EHDSProcedure.reason[x],EHDSProcedure.reason[x],The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, ICD-10, Orphacode if rare disease is diagnosed'}"
EHDSProcedure.reason[x],Procedure.Indication.Symptom,Symptom,Procedure.Indication.Symptom,NL: Symptoom,,(0..1),"data,reference",NL-CM:14.1.17,A symptom that serves as an indication for the procedure.,,EHDSProcedure.reason[x],EHDSProcedure.reason[x],The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, ICD-10, Orphacode if rare disease is diagnosed'}"
EHDSProcedure.reason[x],Procedure.Indication::Problem,,,,,,,,,,EHDSProcedure.reason[x],EHDSProcedure.reason[x],The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, ICD-10, Orphacode if rare disease is diagnosed'}"
,Procedure.ProcedureMethod,ProcedureMethod,Procedure.ProcedureMethod,NL: VerrichtingMethode,CD,0..*,data,NL-CM:14.1.12,"The method or technique that is going to be or was used to perform the procedure, e.g. approach, lavage, pressuring, etc.",SNOMED CT: 260686004 Method,,,,,,,
,Procedure.Requester::HealthProfessional,,,,,,,,,,,,,,,,
