xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSServiceRequest,OrderData,OrderData,OrderData,NL: AanvraagGegevens,,,rootconcept,NL-CM:22.2.1,Root concept of the OrderData process data information model.This root concept contains all data elements of the OrderData process data information model.,,EHDSServiceRequest,EHDSServiceRequest,Service request model,EHDS refined base model for Specification of requested service or services,,0..*,
EHDSServiceRequest.header,,,,,,,,,,,EHDSServiceRequest.header,EHDSServiceRequest.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSServiceRequest.header.subject,,,,,,,,,,,EHDSServiceRequest.header.subject,EHDSServiceRequest.header.subject,Patient/subject information,Patient/subject information,EHDSPatient,1..1,
EHDSServiceRequest.header.identifier,,,,,,,,,,,EHDSServiceRequest.header.identifier,EHDSServiceRequest.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSServiceRequest.header.authorship,,,,,,,,,,,EHDSServiceRequest.header.authorship,EHDSServiceRequest.header.authorship,Resource authoring details,Resource authoring details,Base,1..*,
EHDSServiceRequest.header.authorship.author[x],,,,,,,,,,,EHDSServiceRequest.header.authorship.author[x],EHDSServiceRequest.header.authorship.author[x],Author(s) by whom the resource was/were authored. Multiple authors could be provided.,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSServiceRequest.header.authorship.datetime,,,,,,,,,,,EHDSServiceRequest.header.authorship.datetime,EHDSServiceRequest.header.authorship.datetime,Date and time of authoring/issuing,Date and time of authoring/issuing,dateTime,1..1,
EHDSServiceRequest.header.lastUpdate,,,,,,,,,,,EHDSServiceRequest.header.lastUpdate,EHDSServiceRequest.header.lastUpdate,Date and time of the last update to the resource (may be used for technical corrections).,Date and time of the last update to the resource (may be used for technical corrections).,dateTime,0..1,
EHDSServiceRequest.header.status,,,,,,,,,,,EHDSServiceRequest.header.status,EHDSServiceRequest.header.status,Status of the resource or document,Status of the resource or document,CodeableConcept,1..1,
EHDSServiceRequest.header.statusReason[x],,,,,,,,,,,EHDSServiceRequest.header.statusReason[x],EHDSServiceRequest.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
