xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSSubstanceUse,AlcoholUse,AlcoholUse,AlcoholUse,NL: AlcoholGebruik,,,rootconcept,NL-CM:7.3.1,Root concept of the AlcoholUse information model. This concept contains all data elements of the AlcoholUse information model.,,EHDSSubstanceUse,EHDSSubstanceUse,Substance use model,"Statement about using a substance (such as tobacco, alcohol, drugs, etc).",,0..*,
EHDSSubstanceUse.header,,,,,,,,,,,EHDSSubstanceUse.header,EHDSSubstanceUse.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSSubstanceUse.header.subject,,,,,,,,,,,EHDSSubstanceUse.header.subject,EHDSSubstanceUse.header.subject,Patient/subject information,Patient/subject information,EHDSPatient,1..1,
EHDSSubstanceUse.header.identifier,,,,,,,,,,,EHDSSubstanceUse.header.identifier,EHDSSubstanceUse.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSSubstanceUse.header.authorship,,,,,,,,,,,EHDSSubstanceUse.header.authorship,EHDSSubstanceUse.header.authorship,Resource authoring details,Resource authoring details,Base,1..*,
EHDSSubstanceUse.header.authorship.author[x],,,,,,,,,,,EHDSSubstanceUse.header.authorship.author[x],EHDSSubstanceUse.header.authorship.author[x],Author(s) by whom the resource was/were authored. Multiple authors could be provided.,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSSubstanceUse.header.authorship.datetime,,,,,,,,,,,EHDSSubstanceUse.header.authorship.datetime,EHDSSubstanceUse.header.authorship.datetime,Date and time of authoring/issuing,Date and time of authoring/issuing,dateTime,1..1,
EHDSSubstanceUse.header.lastUpdate,,,,,,,,,,,EHDSSubstanceUse.header.lastUpdate,EHDSSubstanceUse.header.lastUpdate,Date and time of the last update to the resource (may be used for technical corrections).,Date and time of the last update to the resource (may be used for technical corrections).,dateTime,0..1,
EHDSSubstanceUse.header.status,,,,,,,,,,,EHDSSubstanceUse.header.status,EHDSSubstanceUse.header.status,Status of the patient’s alcohol use.,Status of the resource or document,CodeableConcept,1..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSSubstanceUse.header.statusReason[x],,,,,,,,,,,EHDSSubstanceUse.header.statusReason[x],EHDSSubstanceUse.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
