xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSSubstanceUse,DrugUse,DrugUse,DrugUse,NL: DrugsGebruik,,,rootconcept,NL-CM:7.4.1,Root concept of the DrugUse information model. This concept contains all data elements of the DrugUse information model.,SNOMED CT: 228366006 Finding relating to drug misuse behavior,EHDSSubstanceUse,EHDSSubstanceUse,Substance use model,"Statement about using a substance (such as tobacco, alcohol, drugs, etc).",,0..*,
EHDSSubstanceUse.header,,,,,,,,,,,EHDSSubstanceUse.header,EHDSSubstanceUse.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSSubstanceUse.header.subject,,,,,,,,,,,EHDSSubstanceUse.header.subject,EHDSSubstanceUse.header.subject,Patient/subject information,Patient/subject information,EHDSPatient,1..1,
EHDSSubstanceUse.header.identifier,,,,,,,,,,,EHDSSubstanceUse.header.identifier,EHDSSubstanceUse.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSSubstanceUse.header.authorship,,,,,,,,,,,EHDSSubstanceUse.header.authorship,EHDSSubstanceUse.header.authorship,Resource authoring details,Resource authoring details,Base,1..*,
EHDSSubstanceUse.header.authorship.author[x],,,,,,,,,,,EHDSSubstanceUse.header.authorship.author[x],EHDSSubstanceUse.header.authorship.author[x],Author(s) by whom the resource was/were authored. Multiple authors could be provided.,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSSubstanceUse.header.authorship.datetime,,,,,,,,,,,EHDSSubstanceUse.header.authorship.datetime,EHDSSubstanceUse.header.authorship.datetime,Date and time of authoring/issuing,Date and time of authoring/issuing,dateTime,1..1,
EHDSSubstanceUse.header.lastUpdate,,,,,,,,,,,EHDSSubstanceUse.header.lastUpdate,EHDSSubstanceUse.header.lastUpdate,Date and time of the last update to the resource (may be used for technical corrections).,Date and time of the last update to the resource (may be used for technical corrections).,dateTime,0..1,
EHDSSubstanceUse.header.status,,,,,,,,,,,EHDSSubstanceUse.header.status,EHDSSubstanceUse.header.status,Status of the patient’s alcohol use.,Status of the resource or document,CodeableConcept,1..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSSubstanceUse.header.statusReason[x],,,,,,,,,,,EHDSSubstanceUse.header.statusReason[x],EHDSSubstanceUse.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSSubstanceUse.header.language,,,,,,,,,,,EHDSSubstanceUse.header.language,EHDSSubstanceUse.header.language,Language in which the resource is written. Language is expressed by the IETF language tag.,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSSubstanceUse.period,,,,,,,,,,,EHDSSubstanceUse.period,EHDSSubstanceUse.period,Time period for which this observation about substance use is applicable,Time period for which this observation about substance use is applicable,Period,0..1,
EHDSSubstanceUse.frequencyAndQuantity,,,,,,,,,,,EHDSSubstanceUse.frequencyAndQuantity,EHDSSubstanceUse.frequencyAndQuantity,The extent of the patient’s alcohol use in units of alcohol per time period.,The extent of the patient’s alcohol use in units of alcohol per time period.,Base,0..1,
EHDSSubstanceUse.frequencyAndQuantity.quantity,DrugUse.ObservationOfUse.Amount,Amount,DrugUse.ObservationOfUse.Amount,NL: Hoeveelheid,ST,0..1,data,NL-CM:7.4.8,"The number of units (pills, joints, shots etc.) per day, week, month, or year; or the frequency of use.",SNOMED CT: 228390007 Frequency of drug misuse,EHDSSubstanceUse.frequencyAndQuantity.quantity,EHDSSubstanceUse.frequencyAndQuantity.quantity,Quantity (volume per time unit).,Quantity (volume per time unit).,Quantity,1..1,
EHDSSubstanceUse.frequencyAndQuantity.period,DrugUse.ObservationOfUse.StartDate,StartDate,DrugUse.ObservationOfUse.StartDate,NL: StartDatum,TS,0..1,data,NL-CM:7.4.6,The date on which the patient started using.,,EHDSSubstanceUse.frequencyAndQuantity.period,EHDSSubstanceUse.frequencyAndQuantity.period,Time period of alcohol use.,Time period of alcohol use.,Period,0..1,
EHDSSubstanceUse.substanceType,DrugUse.DrugOrMedicationType,DrugOrMedicationType,DrugUse.DrugOrMedicationType,NL: DrugsOfGeneesmiddelSoort,CD,0..1,data,NL-CM:7.4.2,Type of drug used by the patient.,SNOMED CT: 410942007 Drug or medicament,EHDSSubstanceUse.substanceType,EHDSSubstanceUse.substanceType,Type of substance,Type of substance,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSSubstanceUse.routeOfAdministration,DrugUse.RouteOfAdministration,RouteOfAdministration,DrugUse.RouteOfAdministration,NL: Toedieningsweg,CD,0..*,data,NL-CM:7.4.4,The way the drugs are used.,SNOMED CT: 410675002 Route of administration,EHDSSubstanceUse.routeOfAdministration,EHDSSubstanceUse.routeOfAdministration,Route(s) of administration,Route(s) of administration,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'EDQM'}"
EHDSSubstanceUse.note,DrugUse.Comment,Comment,DrugUse.Comment,NL: Toelichting,ST,0..1,data,NL-CM:7.4.9,Relevant comments on the drug use.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,EHDSSubstanceUse.note,EHDSSubstanceUse.note,Textual comment.,Textual comment.,string,0..1,
,DrugUse.DrugUseStatus,DrugUseStatus,DrugUse.DrugUseStatus,NL: DrugsGebruikStatus,CD,1,data,NL-CM:7.4.3,Indication stating whether there was any drug use in the past or present.,SNOMED CT: 228366006 Finding relating to drug misuse behavior,,,,,,,
,DrugUse.ObservationOfUse,ObservationOfUse,DrugUse.ObservationOfUse,NL: WaarnemingGebruik,,0..1,container,NL-CM:7.4.5,Container for ObservationOfUse. This container contains all data elements of the ObservationOfUse container.,,,,,,,,
,DrugUse.ObservationOfUse.StopDate,StopDate,DrugUse.ObservationOfUse.StopDate,NL: StopDatum,TS,0..1,data,NL-CM:7.4.7,The date on which the patient quit using.,,,,,,,,
