xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSImmunisation,Vaccination,Vaccination,Vaccination,NL: Vaccinatie,,,rootconcept,NL-CM:11.1.1,Root concept of the Vaccination information model. This root concept contains all data elements of the Vaccination information model.,,EHDSImmunisation,EHDSImmunisation,Immunisation model,EHDS refined base model for Immunisation,,0..*,
EHDSImmunisation.header,,,,,,,,,,,EHDSImmunisation.header,EHDSImmunisation.header,Common header for all patient-related data,Common header for all patient-related data,Base,1..1,
EHDSImmunisation.header.subject,,,,,,,,,,,EHDSImmunisation.header.subject,EHDSImmunisation.header.subject,Subject,Patient/subject information,EHDSPatient,1..1,
EHDSImmunisation.header.identifier,,,,,,,,,,,EHDSImmunisation.header.identifier,EHDSImmunisation.header.identifier,Business identifier for the object,Business identifier for the object,Identifier,0..*,
EHDSImmunisation.header.authorship,,,,,,,,,,,EHDSImmunisation.header.authorship,EHDSImmunisation.header.authorship,Authorship,Resource authoring details,Base,1..*,
EHDSImmunisation.header.authorship.author[x],,,,,,,,,,,EHDSImmunisation.header.authorship.author[x],EHDSImmunisation.header.authorship.author[x],Author,Author(s) by whom the resource was/were authored. Multiple authors could be provided.,EHDSHealthProfessional,1..1,
EHDSImmunisation.header.authorship.datetime,,,,,,,,,,,EHDSImmunisation.header.authorship.datetime,EHDSImmunisation.header.authorship.datetime,Date and time of authoring/issuing,Date and time of the issuing the document/resource by its author.,dateTime,1..1,
EHDSImmunisation.header.lastUpdate,,,,,,,,,,,EHDSImmunisation.header.lastUpdate,EHDSImmunisation.header.lastUpdate,Date and time of the last update to the resource,Date and time of the last update to the document/information,dateTime,0..1,
EHDSImmunisation.header.status,,,,,,,,,,,EHDSImmunisation.header.status,EHDSImmunisation.header.status,Status of the resource,"Indicates the current status of the immunisation event (completed, not-done).",CodeableConcept,1..1,
EHDSImmunisation.header.statusReason[x],,,,,,,,,,,EHDSImmunisation.header.statusReason[x],EHDSImmunisation.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSImmunisation.header.language,,,,,,,,,,,EHDSImmunisation.header.language,EHDSImmunisation.header.language,Language,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSImmunisation.header.version,,,,,,,,,,,EHDSImmunisation.header.version,EHDSImmunisation.header.version,Version,Business version of the resource.,string,0..1,
EHDSImmunisation.presentedForm,,,,,,,,,,,EHDSImmunisation.presentedForm,EHDSImmunisation.presentedForm,"A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document",EHDSAttachment,0..*,
EHDSImmunisation.diseaseOrAgentTargeted,Vaccination.VaccinationPathogen,VaccinationPathogen,Vaccination.VaccinationPathogen,NL: VaccinatieZiekteverwekker,CD,1,data,NL-CM:11.1.11,The disease or pathogeen against what the vaccination is primarily given.,,EHDSImmunisation.diseaseOrAgentTargeted,EHDSImmunisation.diseaseOrAgentTargeted,Disease or agent targeted,Disease or agent that the vaccination provides protection against.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'ICD-10, SNOMED CT'}"
EHDSImmunisation.vaccine,,,,,,,,,,,EHDSImmunisation.vaccine,EHDSImmunisation.vaccine,Type of vaccine,Generic description of the vaccine/prophylaxis or its component(s).,CodeableConcept,1..1,"{'strength': 'preferred', 'description': 'SNOMED CT, ATC'}"
EHDSImmunisation.administeredProduct,Vaccination.PharmaceuticalProduct,PharmaceuticalProduct,Vaccination.PharmaceuticalProduct,NL: FarmaceutischProduct,,1,"data,reference",NL-CM:11.1.9,The pharmaceutical product of the administered vaccination,,EHDSImmunisation.administeredProduct,EHDSImmunisation.administeredProduct,Administered medicinal product,Administered medicinal product,EHDSMedication,0..1,
EHDSImmunisation.doseNumber,,,,,,,,,,,EHDSImmunisation.doseNumber,EHDSImmunisation.doseNumber,Number in a series of vaccinations / doses,Order in the vaccination course.,integer,0..1,
EHDSImmunisation.dateOfVaccination,Vaccination.VaccinationDateTime,VaccinationDateTime,Vaccination.VaccinationDateTime,NL: VaccinatieDatumTijd,TS,1,data,NL-CM:11.1.3,"Date (and if possible time) that the vaccine is administered. In the case of a historical vaccination, a vague date (month, year) is allowed.",,EHDSImmunisation.dateOfVaccination,EHDSImmunisation.dateOfVaccination,Date of vaccination,The date and time when the vaccination was administered,date,1..1,
EHDSImmunisation.administeringCentre,Vaccination.Location::HealthcareProvider,Location::HealthcareProvider,Vaccination.Location::HealthcareProvider,NL: Locatie::Zorgaanbieder,,1,"context,reference",NL-CM:11.1.8,The healthcare provider where the vaccination is or will be carried out.,,EHDSImmunisation.administeringCentre,EHDSImmunisation.administeringCentre,Administering centre,Name/code of administering centre or a health authority responsible for the vaccination event,EHDSOrganisation,0..*,
EHDSImmunisation.vaccineAdministrator,Vaccination.Administrator::Healthprofessional,Administrator::Healthprofessional,Vaccination.Administrator::Healthprofessional,NL: Toediener::Zorgverlener,,1,"context,reference",NL-CM:11.1.6,The healthcare provider by whom the vaccination was done or will be done.,,EHDSImmunisation.vaccineAdministrator,EHDSImmunisation.vaccineAdministrator,Administrator of vaccine,Health professional responsible for administering the vaccine or prophylaxis,EHDSHealthProfessional,0..*,
EHDSImmunisation.nextVaccinationDate,,,,,,,,,,,EHDSImmunisation.nextVaccinationDate,EHDSImmunisation.nextVaccinationDate,Next vaccination date,The date when the vaccination is planned to be given/repeated (e.g. next dose),date,0..1,
,Vaccination.AnatomicalLocation,AnatomicalLocation,Vaccination.AnatomicalLocation,NL: AnatomischeLocatie,,0..1,"context,reference",NL-CM:11.1.13,The location on the body where the vaccination was administered.,,,,,,,,
,Vaccination.Dose,Dose,Vaccination.Dose,NL: Dosis,PQ,0..1,data,NL-CM:11.1.4,"The amount of product administered. In most cases, the entire product is administered; in some cases, a described part of the product is administered.",,,,,,,,
,Vaccination.Comment,Comment,Vaccination.Comment,NL: Toelichting,ST,0..1,data,NL-CM:11.1.7,Comment on the vaccination,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
,Vaccination.RouteOfAdministration,RouteOfAdministration,Vaccination.RouteOfAdministration,NL: Toedieningsweg,CD,1,data,NL-CM:11.1.12,The route by which the vaccine is came into the body.,SNOMED CT: 410675002 Route of administration,,,,,,,
,Vaccination.VaccinationMotive,VaccinationMotive,Vaccination.VaccinationMotive,NL: VaccinatieAanleiding,CD,1..*,data,NL-CM:11.1.10,Displays the trigger based on what the vaccine was administered.,SNOMED CT: 159941000146109 Reason for vaccination,,,,,,,
